,begin_quarantine,full_quarantine,time_to_full_quarantine,strength_of_quarantine,length_of_full_quarantine,day_quit_quarantine,increase_rate_from_quit_quarantine,increase_before_drop,quarantine_enforcement
Adelaide,65.34140380872547,69.10407494583971,3.7626711371142383,86.95201974121015,33.89600512269985,103.00008006853956,0.9278353760098149,45.177142857142854,64.25278788927334
Akron,59.56532931971021,64.96359286890149,5.398263549191282,45.327138354963466,39.03663061938488,104.00022348828637,0.04913493281391159,-17.047142857142845,53.369079750000004
Albany,59.77873438222017,63.38164514294447,3.6029107607243014,91.2527855860945,32.618220904294525,95.999866047239,0.38291749435650435,29.210000000000008,98.04925585937502
Albuquerque,61.347698188551504,66.26367104828662,4.915972859735119,52.06006159603066,35.59630262284007,101.8599736711267,0.42100815259839025,-11.741428571428585,29.15585420408163
Allentown,60.56254417208115,66.47588533251522,5.913341160434076,65.11660478409715,29.54254990551061,96.01843523802583,0.5190039421628438,-0.9700000000000131,29.65031955555556
Amsterdam,58.20212924428173,62.30925505734495,4.1071258130632256,111.81805174861678,1.6908016818759748,64.00005673922092,0.16524213095382584,22.50571428571429,85.93290000000002
Ann Arbor,5.5,6.5,1.0,56.785000000000004,88.5,95.0,1.0,-86.56428571428572,1083.108856684762
Annapolis,57.60798611549824,66.0696933766947,8.461707261196453,66.08594156911217,38.85702670202954,104.92672007872424,2.0587796450298153,-12.650000000000006,53.770172022160665
Antioch,59.7878454751769,62.60205623813855,2.8142107629616464,67.70551473167276,72.89476820272412,135.49682444086267,0.5420237500828549,8.352857142857147,37.35433786848073
Antwerp,59.23827551827816,61.10507037462982,1.8667948563516603,93.9250134904133,43.590447848446715,104.69551822307653,1.1103233278724889,18.40857142857145,35.32304305029744
Atlanta,60.32042441738733,64.40677424122212,4.0863498238347935,51.3283639377534,43.01357074394727,107.4203449851694,0.33916666708237914,-3.65428571428572,32.50927366143862
Auckland,61.73194780482423,68.51468773762498,6.782739932800751,102.79996816966,31.74152855520181,100.25621629282679,1.1966026987845015,8.090000000000003,60.984643359375
Austin,59.9957973596346,63.65426711783825,3.6584697582036565,96.95677641021925,35.04644269233432,98.70070981017257,0.4339316340230581,33.879999999999995,91.87514938775513
Bakersfield,61.24300254247849,67.56357450253155,6.320571960053066,74.08165788629586,17.521334132390365,85.08490863492192,0.4728085375821633,23.539999999999992,80.5170237654321
Baltimore,61.25610223195123,65.52644426298662,4.270342031035381,54.376063489866645,42.47353919003298,107.9999834530196,0.5585497309436869,0.2057142857142935,33.27295334467121
Barcelona,59.899318641838626,61.18721078103,1.2878921391913758,149.1547119964471,35.28419251460178,96.47140329563177,0.5231061850037972,137.44428571428574,82.48298612244899
Basel,54.57969604986427,64.71744836076573,10.137752310901465,90.70922110104516,2.2825484357610435,66.99999679652677,0.6296664780655169,2.5042857142857144,0.1722249999999993
Belfast,59.54224283095604,64.67550695038219,5.133264119426148,89.6457641917006,44.324499913977405,109.00000686435959,0.3934246722346789,9.587142857142865,46.8986248888889
Berlin,58.11621127399149,63.10365060571089,4.9874393317194015,89.90092383538774,17.47169641956406,80.57534702527495,0.5619900922500813,15.078571428571422,60.46800138408304
Bern,58.3667882911822,62.633786490494415,4.266998199312219,72.87853089706601,13.788346777470082,76.4221332679645,0.6242434699293248,-1.7185714285714369,53.342191836734685
Birmingham,68.5,69.5,1.0,84.285,25.5,95.0,1.0,15.747142857142862,343.18299186390533
Bochum - Dortmund,60.91601178106111,64.20193769570857,3.285925914647458,71.61213830737431,3.798155232521637,68.0000929282302,0.9492540213758704,50.06428571428569,86.04972499999997
Bordeaux,61.52691786127776,62.291687682052434,0.7647698207746707,111.26874309641813,42.23311445914569,104.52480214119812,2.737857129702541,65.71571428571428,73.78334314058958
Boston,57.70999604878793,62.378634132107834,4.66863808331991,88.70368004953906,41.62131491241101,103.99994904451884,0.25901500556690776,8.118571428571414,30.895781439619274
Bradford,60.42911216408226,67.40247609368669,6.973363929604421,82.80527319575678,28.597640803038303,96.00011689672499,0.29065946524755054,1.9357142857142833,65.74101141498217
Bridgeport,59.44568181802376,64.7353529516989,5.289671133675136,71.09241552776514,42.86854975806489,107.60390270976379,0.4437991095509821,3.4728571428571513,32.44460648999459
Brisbane,62.27369823411731,69.02645011550678,6.752751881389466,84.41547920369135,29.213204597954714,98.23965471346149,0.4889827980983359,11.247142857142848,48.50100879904874
Bristol,60.79626499729605,66.20822122706964,5.4119562297735975,96.20508604485387,30.640568729957607,96.84878995702725,0.16629433348323572,7.13428571428571,53.040860555555554
Brussels,58.586037515272984,61.74783850799897,3.1618009927259885,107.13155281403684,43.91050475002678,105.65834325802575,1.262543860083299,23.53285714285714,53.242470816115706
Buffalo,5.5,6.5,1.0,74.67999999999999,88.5,95.0,1.0,-54.44142857142856,950.3531619239996
Calgary,59.37813481022561,63.30129708257615,3.9231622723505417,81.75052232070243,32.52462777693406,95.82592485951021,0.42889165232052406,4.407142857142858,47.38970615234374
Cardiff,59.300915840362975,65.8218923467531,6.520976506390125,82.81494248065094,44.288479617632944,110.11037196438605,0.3001117663345842,-5.69714285714285,35.824807209876546
