,begin_quarantine,full_quarantine,time_to_full_quarantine,strength_of_quarantine,length_of_full_quarantine,day_quit_quarantine,increase_rate_from_quit_quarantine,increase_before_drop,quarantine_enforcement
Albania,56.609176676941615,58.38326861260366,1.7740919356620426,73.90342556044715,35.84438031442495,94.22764892702861,0.8752035595105022,-10.894285714285715,37.83536111111111
Argentina,60.49104985649974,65.40519314642572,4.914143289925968,94.25106298448917,3.594768914749153,68.99996206117487,0.5183278478643158,-2.6471428571428532,159.50962222222225
Australia,62.34854462415602,70.40641872968011,8.057874105524087,57.87929324607297,18.593581152810415,88.99999988249053,0.7773897712976474,3.547142857142859,76.39816080246914
Austria,58.34573767009675,61.87778317972477,3.5320455096280226,84.5750341188818,13.54542045476748,75.42320363449225,1.0664264786260151,14.945714285714288,86.00625510204084
Belgium,58.68684343319822,61.79336554584481,3.1065221126465854,73.62351817416288,32.51364240623704,94.30700795208185,1.2718353562296327,14.354285714285737,64.49223250688706
Brazil,61.905753203444526,65.16482023240297,3.2590670289584414,63.00351243977552,3.8351692651372957,68.99998949754027,0.45552537691062933,-5.335714285714303,9.553088888888883
Bulgaria,56.894971458067396,61.60956911709692,4.714597659029526,77.3073215796902,38.99649611853872,100.60606523563564,1.9864608829383046,7.328571428571436,46.1671677843524
Cambodia,48.93612257486342,61.38390940033976,12.447786825476335,68.68717548756176,29.616095585485738,91.0000049858255,0.5395445990489789,-7.8500000000000085,20.662771222222226
Canada,60.16963478451234,64.7045741306731,4.534939346160749,62.782631969929064,25.03286876949062,89.73744290016371,1.1156706035773256,14.222857142857137,60.17484896
Chile,58.52799907079806,65.51172803739301,6.983728966594953,90.34205461084414,2.4882400104078926,67.9999680478009,0.44562194739442224,6.470000000000013,8.122500000000008
Colombia,59.11056129500293,65.07571042481723,5.965149129814296,73.84527813651344,24.191110571189995,89.26682099600723,0.6572365505207686,-9.672857142857154,30.055863888888897
Croatia,58.13386078158119,63.114100504475886,4.980239722894687,76.72965669733725,26.885907106900518,90.0000076113764,1.3146867966534646,-1.855714285714285,54.50686666666667
Czech Republic,58.480836894772565,61.586171954222394,3.105335059449832,71.38767632965066,6.413834658119455,68.00000661234185,1.108376846524868,14.852857142857133,50.09208163265307
Denmark,57.518434917622535,58.977306477441765,1.4588715598192283,48.546731977961514,8.815675204173722,67.79298168161549,0.8459951261381411,12.090000000000003,99.44891358024692
