,begin_quarantine,full_quarantine,time_to_full_quarantine,strength_of_quarantine,length_of_full_quarantine,day_quit_quarantine,increase_rate_from_quit_quarantine,increase_before_drop,quarantine_enforcement
Australia,61.816744410217346,68.09291876917625,6.276174358958903,85.87092227760772,31.412807212067122,99.50572598124337,0.49368577965737714,12.252857142857124,41.45222372528615
Belgium,58.77489784543522,61.50415211662582,2.729254271190592,98.22894872361593,44.42508020298867,105.92923231961448,1.216385978707262,24.799999999999997,46.35409602272727
Brazil,61.65439077667708,65.02773315046606,3.37334237378898,82.0170467642515,3.972022215709515,68.99975536617558,0.08778326129635501,3.4857142857142946,42.98602222222221
Canada,59.90884403708855,64.33713627369013,4.428292236601586,76.78544303904438,32.33225155471574,96.66938782840587,0.2864342408341061,-3.8985714285714295,32.349043359375
Czech Republic,58.262013680984346,60.7043967956586,2.4423831146742554,98.89507028946751,16.360824004350853,77.06522080000946,0.6307043267686345,22.93142857142857,104.97868373702424
Denmark,57.04934829508419,59.59240236794473,2.543054072860536,80.4888669765403,16.285358149077865,75.8777605170226,0.58311562628644,8.877142857142871,48.076821484375
Estonia,58.73945426767775,61.12881849614558,2.389364228467822,82.6127799027397,33.26177198888531,94.39059048503088,1.061862072489157,20.330000000000013,34.03853351698806
Finland,58.26749816027377,62.89470803123273,4.627209870958969,65.72680286749711,26.10525808500507,88.9999661162378,0.5396578683091618,5.299999999999997,40.47040177514792
France,60.140189755200595,62.452003056298494,2.311813301097906,95.83358345352211,46.479342058287926,108.93134511458642,2.0545293981432504,14.030000000000001,30.028165453686203
Germany,59.32639294768727,63.217477099306294,3.8910841516190318,85.09548935619218,12.37175045328344,75.58922755258973,0.6285823287452804,25.710000000000008,82.56243055555555
Ireland,59.02132246362698,63.090958047085174,4.0696355834582,105.63547536832617,41.999906469904424,105.0908645169896,0.30012280744458286,23.335714285714303,43.49096422902493
Italy,46.984159381449224,54.953401675890284,7.969242294441053,100.25241393661761,40.72895604369017,95.68235771958045,0.5471618954636164,23.558571428571412,91.88906222486615
Japan,77.79095484531015,85.1173368149401,7.326381969629942,56.16138099623392,27.882647822202188,112.99998463714229,1.1484565998968927,20.727142857142866,27.573854320987653
Luxembourg,59.77646683469382,62.73964402807508,2.9631771933812576,80.82143420506998,34.12896209533929,96.86860612341437,0.6037684734064264,10.564285714285717,53.325732266435985
Mexico,61.740301134581664,67.58761783252031,5.84731669793864,73.75123822571278,50.41233177775263,117.99994961027294,0.6036599364408657,-3.8914285714285626,26.648082560000002
Netherlands,58.19180582165677,62.048127446121626,3.8563216244648486,93.83536429585378,13.949039521425433,75.99716696754706,0.26549703995412705,11.580000000000013,44.706013017751474
New Zealand,62.5383768645889,68.71897832750993,6.18060146292103,99.04531582660941,30.96465359875495,99.68363192626488,1.0935766795258666,8.391428571428577,69.18288054110302
Norway,56.75664240545827,59.49493718031216,2.7382947748538884,81.24278774634912,16.032375403308798,75.52731258362095,0.6232854835566358,9.542857142857159,49.50197773437501
Philippines,54.314925576469115,61.41730480297512,7.1023792265060015,71.00828134117468,56.58266807277369,117.99997287574881,0.7339233553889614,-15.607142857142861,16.26227675382653
Singapore,65.7074600568132,83.78102797355655,18.073567916743354,68.27080480591472,47.110887302769925,130.89191527632647,-0.03459166083021997,-29.104285714285695,24.517295521541953
Slovakia,54.7823649727082,59.31588274261515,4.533517769906952,73.77662092763168,1.6841157170149046,60.999998459630056,0.4803131819578418,3.3228571428571456,0.0
Spain,58.2275860086343,60.23760363274027,2.0100176241059757,113.3428293270968,35.7620025511144,95.99960618385467,0.4070089234640672,39.55714285714285,50.7448133877551
Sweden,56.711595616603226,61.17890886653341,4.467313249930185,54.38179529162236,18.821092864878047,80.00000173141146,0.35456280350928004,4.914285714285711,24.98431135734071
Switzerland,57.55052653385926,62.6602619822953,5.109735448436038,81.74623351235851,12.421575667085499,75.0818376493808,0.5882380832205936,1.8271428571428743,58.207751479289946
Taiwan,43.96194552279777,69.51074278289974,25.548797260101978,56.75980810165624,29.49059145589389,99.00133423879363,0.6500024247069075,4.15428571428572,49.21060222222224
United Kingdom,60.01047862917941,65.87022456328341,5.859745934104011,95.38587494586478,32.937045043959316,98.80726960724273,0.27759997736052494,8.814285714285717,61.988467217630856
United States,59.09969866172549,63.73212379734239,4.632425135616897,76.66090147796548,33.56381945766527,97.29594325500766,0.26157529717886846,2.0071428571428527,43.00806920415225
