,begin_quarantine,full_quarantine,time_to_full_quarantine,strength_of_quarantine,length_of_full_quarantine,day_quit_quarantine,increase_rate_from_quit_quarantine,increase_before_drop,quarantine_enforcement
Albania,56.54702929,58.11135556,1.564326266,61.51612436,38.61823234,96.7295879,1.084250131,-18.78285714,34.33491911
Argentina,60.93958058,64.01732571,3.077745139,91.81252256,12.29302436,76.31035007,0.354894525,4.102857143,100.286991
Australia,61.12160392,67.25522698,6.133623057,66.60006681,20.16230255,87.41752953,0.384107503,9.381428571,68.54245475
Austria,58.09218518,61.19986133,3.107676154,94.15773971,7.800145747,69.00000708,0.643047559,17.59857143,98.99333594
Belgium,58.16335957,61.18695121,3.023591644,98.00624761,4.32E-05,61.18699443,0.533987489,39.39,0
Brazil,61.89290851,65.09683921,3.203930698,77.20941524,3.903244223,69.00008343,0.338078039,3.922857143,80.88355
Bulgaria,57.62539913,61.42188545,3.796486315,87.66456871,36.70462871,98.12651416,1.610625649,16.37714286,54.8541103
Cambodia,48.05182243,69.3705361,21.31871366,54.45965405,22.62945868,91.99999478,0.671756768,-5.235714286,12.1256407
Canada,60.38990572,64.13346727,3.743561559,71.05479543,26.80482338,90.93829065,1.029168998,23.89,41.90395148
Chile,61.60450532,64.09411135,2.48960603,77.98621577,15.04759564,79.14170699,0.277678932,0.057142857,80.79848889
Colombia,60.67163434,65.83236144,5.160727108,76.39851206,2.167637248,67.99999869,0.515100445,-5.024285714,3.115225
Croatia,59.25368204,63.62379841,4.370116375,85.59647465,9.340382614,72.96418103,0.811052903,5.605714286,144.9114889
Czech Republic,57.79463992,61.00219971,3.207559788,109.1501826,1.997828594,63.0000283,0.60054809,38.53142857,22.09
Denmark,56.78499387,58.84763461,2.062640748,59.99282996,5.966874574,64.81450919,0.710992675,14.58714286,205.3246917
Egypt,58.03577774,65.65029678,7.614519045,76.05583296,8.349683568,73.99998035,0.410932237,12.60428571,95.00139375
Estonia,57.5362672,60.4865168,2.950249595,93.68667294,18.89634359,79.38286039,0.719669655,57.93571429,197.9418111
Finland,57.21255824,60.49561662,3.283058381,41.20356364,16.90027207,77.39588869,0.614542898,5.094285714,43.24238893
France,60.06870691,62.68610087,2.617393965,78.73182686,49.12580249,111.8119034,3.231923197,-14.23428571,19.91466939
Germany,58.97809592,63.69873124,4.720635315,66.45064722,4.301235701,67.99996694,0.676254885,9.614285714,49.07085
Greece,58.23634594,61.40276125,3.166415309,92.19335241,19.83071678,81.23347803,0.839382848,14.19857143,46.96487475
Hong Kong,9.660619364,10.9055991,1.244979736,69.37861943,88.0944112,99.0000103,0.180156363,,65.68802235
Hungary,58.72308649,62.76760073,4.044514244,109.5093167,25.58899293,88.35659366,0.476572413,38.53,105.3314345
Iceland,60.05344347,63.8553616,3.80191813,78.38499553,19.14455663,82.99991823,0.522590396,13.30571429,95.68733906
India,61.88950764,68.21845386,6.328946218,88.14963215,35.35394835,103.5724022,0.647637366,9.804285714,16.28142498
Indonesia,60.18378388,66.36891688,6.185133002,75.07277341,40.74862005,107.1175369,0.552746999,0.594285714,26.78713076
Ireland,59.40761363,62.93574332,3.528129698,113.9156433,27.50087299,90.43661631,0.215150552,47.83142857,118.3965214
Israel,58.80558764,61.21223441,2.406646775,76.53517965,27.78773256,88.99996697,1.099121441,23.43,113.1334469
Italy,47.09184159,54.63966315,7.547821552,109.0242047,43.79181991,98.43148306,1.024076924,46.75142857,128.3648555
Japan,77.61843651,83.79302235,6.174585839,58.94980742,-0.405545902,83.38747645,0.395906753,38.78285714,0
Latvia,57.72271138,60.82246542,3.099754046,71.75021892,30.34859693,91.17106235,0.652459892,26.39142857,134.3930254
Lithuania,58.49601257,61.38084846,2.884835888,80.74736149,22.29168589,83.67253435,1.055116762,14.78714286,66.0694686
Luxembourg,59.02935415,62.51153173,3.482177581,68.88313552,46.77696153,109.2884933,2.274071433,7.4,51.06918072
Macao,9.47909275,11.23230095,1.753208197,128.4934459,68.76756366,79.9998646,0.109746489,,54.6059537
Malaysia,50.17594294,71.04209555,20.86615261,98.20339261,3.10E-06,71.04209865,0.937105578,-12.33142857,0
Mexico,63.25965081,66.92116288,3.661512069,77.43342625,34.85477512,101.775938,0.646245062,13.34714286,70.34546727
Morocco,60.31132563,63.28406121,2.972735585,123.8961768,1.715309751,64.99937096,0.09049268,47.06714286,0
Netherlands,58.36573885,62.55480393,4.18906508,82.00079335,1.445258936,64.00006286,0.57477196,18.59428571,19.8025
New Zealand,62.36966309,68.94904531,6.579382218,88.05773547,28.67451823,97.62356355,1.089037863,12.68714286,71.6723629
Norway,56.50521909,59.32097333,2.815754241,63.70918395,2.67902218,61.99999551,0.681741711,9.12,24.2064
Philippines,50.73836779,63.63578911,12.89742131,87.34182067,47.97519219,111.6109813,0.811144694,-1.492857143,38.67405972
Poland,57.95263056,60.71114468,2.758514114,89.08924972,30.28886074,91.00000542,1.14729768,18.42,75.92443143
Portugal,59.81710232,62.59531652,2.7782142,121.7349237,32.86576867,95.46108519,0.539133005,43.07714286,71.81554839
Republic of Korea,21.14304416,42.67335285,21.53030868,82.35316386,7.32663829,49.99999114,0.289315002,5.388571429,38.48505306
Romania,58.05819,61.8522087,3.794018707,84.94124574,53.04990303,114.9021117,4.795575702,13.56,43.46218014
Russia,69.10702329,76.92551937,7.818496084,76.48004575,2.0745136,79.00003297,0.705672374,13.96142857,25.41668889
Saudi Arabia,61.42777829,65.89519903,4.467420736,39.5195369,37.10483905,103.0000381,0.618275415,-9.05,27.23477846
Serbia,59.0459067,62.55165698,3.505750283,78.57976162,34.44834405,97.00000103,1.449464693,5.694285714,39.2451151
Slovakia,56.7878993,60.04606447,3.258165173,80.74567794,0.953958277,61.00002275,0.725778404,20.18,0
Slovenia,56.48701664,61.43279003,4.945773385,88.06689608,12.18881584,73.62160586,1.02202196,19.35285714,82.135625
South Africa,63.72742131,74.28520378,10.55778246,109.7432466,1.71478866,75.99999243,1.075687052,6.92,0
Spain,58.29959588,60.73678884,2.43719296,120.935683,28.76597553,89.50276437,0.810857143,38.20857143,129.678258
Sweden,57.06448311,60.32465108,3.260167975,46.6999998,3.675368695,64.00001978,0.346264802,7.797142857,148.5135188
Switzerland,57.84782783,63.34694666,5.499118833,65.56171871,4.653072777,68.00001944,0.680353617,6.571428571,25.275496
Taiwan,62.32111762,100.16822,37.84710237,50.82261513,1.04E-07,100.1682201,1.007103654,1.091428571,0
