,begin_quarantine,full_quarantine,time_to_full_quarantine,strength_of_quarantine,length_of_full_quarantine,day_quit_quarantine,increase_rate_from_quit_quarantine,increase_before_drop,quarantine_enforcement
Abruzzo Region,52.97690268513898,57.008622131961474,4.031719446822498,85.78908300382523,40.79569911041625,97.80432124237772,1.1380158867345755,8.738571428571404,17.749490937499996
Agder,57.78622070661559,60.7647935486338,2.9785728420182136,55.76416485425166,1.2351851755448777,61.999978724178675,1.2846616224175607,20.811428571428564,0.0
Aguascalientes,62.844904854511284,65.92012104366863,3.0752161891573397,60.61727530990737,24.07986756918325,89.99998861285188,0.6167407279293394,1.3071428571428498,83.67187760416665
Aichi Prefecture,81.32462701151556,86.31938353245715,4.994756520941589,43.421763124996545,12.680549706580365,98.99993323903752,0.2804462308470712,29.17999999999998,33.934774305555536
Akita Prefecture,80.62514687797699,85.51184233811443,4.886695460137449,45.502868688088896,20.488122704931868,105.9999650430463,0.3074491565026248,54.16714285714286,77.92782274999998
Alabama,64.01832256081268,67.16674699001696,3.1484244292042898,47.64696556419261,22.833353893795106,90.00010088381207,1.8517846553991268,28.035714285714278,102.52884272211719
Alagoas,61.51089620333787,65.51152563251398,4.00062942917611,63.783296841460064,3.488453178120878,68.99997881063486,0.3529413179421936,-4.262857142857129,1.4769555555555545
Alaska,62.14990320088941,65.42259069574564,3.272687494856231,45.596638811598794,21.28948034601892,86.71207104176456,2.0865618515965427,17.59571428571428,60.835237188208644
Alberta,58.857553246508786,63.556904704230774,4.699351457721984,61.488534969301874,22.874311896476343,86.43121660070712,1.3145027540172336,17.68428571428572,70.70391266540643
Alsace Region,59.49402222516713,63.13821694317579,3.6441947180086602,79.67513399681312,34.646337021007355,97.78455396418315,1.771843715289012,1.4185714285714255,59.26466340830449
Amazonas,62.72707653055174,65.02247146685818,2.2953949363064363,39.50068558143681,33.54572130646018,98.56819277331836,1.667259666018361,21.764285714285734,185.54020404040403
Andalusia,58.74689863427039,61.40261739072674,2.655718756456351,113.62757670380263,26.680546798451495,88.08316418917823,0.7368262551443968,42.10714285714283,56.338785459533625
Ang Thong Province,64.38437078197678,76.73358895285453,12.34921817087776,114.07250639037935,6.723974195210758e-07,76.73358962525195,1.7081010489365989,32.62428571428572,0.0
Antofagasta Region,62.222878098785706,64.56826840112572,2.3453903023400158,59.929858775903035,4.431738427938939,69.00000682906466,0.6282317394209447,15.854285714285737,35.90653599999995
Antwerp Province,58.75018223165659,61.40912099374287,2.6589387620862794,72.75840993471095,33.873157142663906,95.28227813640677,1.1887733934252098,15.632857142857148,51.300995934256065
Aomori Prefecture,81.99374071285703,85.68541568133998,3.6916749684829453,32.82698157465598,15.31787295175549,101.00328863309547,0.3316703234771311,36.84428571428572,56.096710937500006
Apulia Region,53.00529535813758,56.98559559384379,3.980300235706213,86.33874839497457,41.88419673130215,98.86979232514594,1.5960102499769375,13.731428571428594,63.11670595238096
Aquitaine Region,60.36275043951019,63.07135668373207,2.7086062442218872,80.35493944922543,34.845732964041154,97.91708964777322,2.100433446303874,0.21857142857142264,51.48104818339101
Aragon,57.797180424220734,61.121373872336584,3.324193448115856,117.17133902839655,28.76953022273974,89.89090409507632,0.9918655582181417,56.20285714285714,43.543588137755094
Arizona,62.249670303769314,66.3887091848391,4.1390388810697925,57.13947062445996,23.611296040389007,90.00000522522811,0.9878389397912876,22.71714285714286,61.40945763888889
Arkansas,61.74123349059678,64.30262674293647,2.561393252339693,36.935270275348536,25.69736213811244,89.9999888810489,1.367458539780568,25.799999999999997,91.99709023999999
Asturias,57.99091902852144,60.634666724277544,2.6437476957561037,108.51878968468505,29.563734767833587,90.19840149211113,1.2893124663484568,34.93428571428569,103.83150455555553
Auckland Region,64.89630014850435,70.81625550215624,5.9199553536518845,93.40738477167226,26.3096381895146,97.12589369167084,2.1776370093003723,6.555714285714288,120.57780192043893
Australian Capital Territory,63.18967099957668,70.20507298600212,7.015401986425448,55.209398616198705,13.597045130727821,83.80211811672994,0.6872970633191967,5.975714285714275,74.41232899408283
Autonomous Region Aosta Valley,55.91467668236917,56.033749459277395,0.11907277690822266,153.33406263291783,36.93470226346951,92.9684517227469,0.4108852440027177,94.30571428571426,129.97645208333336
Autonomous Region Friuli-Venezia Giulia,55.34759648610102,57.0224326669103,1.6748361808092846,81.83620407970221,33.098047205022105,90.1204798719324,1.1434499584897913,-1.6671428571428635,35.43302442607898
Autonomous Region Sardinia,53.36458277714826,56.67464675468051,3.310063977532257,81.1744371337941,40.69936215164488,97.37400890632539,1.2711233282844296,13.34571428571428,47.665956335514565
Autonomous Region Trentino-Alto Adige/Südtirol,52.67359052334713,58.272414760138034,5.598824236790911,137.2087375001082,1.5054968000923807,59.777911560230415,0.47078886689573934,73.20999999999998,0.0
Auvergne Region,60.143887425929904,63.458877630586926,3.314990204657026,83.98922488039284,34.43971329038271,97.89859092096964,2.171776584345995,13.530000000000001,72.7868131487889
Baden-Württemberg,58.992868519758154,64.2289621973141,5.236093677555946,72.949681755964,3.771061879210464,68.00002407652457,0.7934917917099934,12.20571428571428,19.588649999999994
Bahia,57.625155002959644,65.95726128524386,8.332106282284219,57.05219151256168,4.042763701384459,70.00002498662832,0.4213797082962572,-17.452857142857155,74.38258400000001
