country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Afghanistan,-10.0,11.0,11.0,5.0,3.0,3.0,9.0,5.0,6.0,13.0,5.0,5.0,0.0,5.0,1.0,10.0,7.0,6.0,4.0,5.0,9.0,5.0,8.0,-10.0,0.0,-1.0,-4.0,9.0,2.0,12.0,14.0,6.0,7.0,3.0,1.0,-13.0,9.0,7.0,0.0,-1.0,0.0,5.0,-20.0,-21.0,-25.0,-29.0,-24.0,-25.0,-13.0,-20.0,-22.0,-20.0,-24.0,-30.0,-35.0,-22.0,-32.0,-29.0,-27.0,-32.0,-31.0,-34.0,-21.0,-25.0,-26.0,-17.0,-21.0,-18.0,-23.0,-19.0,-27.0,-27.0,-28.0,-27.0,-20.0,-30.0,-21.0,-27.0,-30.0,-23.0,-28.0,-23.0,-25.0,-13.0,-17.0,-21.0,-11.0,-14.0,-12.0
Angola,-2.0,0.0,-4.0,-4.0,-12.0,-5.0,-1.0,2.0,2.0,-8.0,-20.0,-3.0,3.0,7.0,10.0,16.0,9.0,7.0,6.0,8.0,6.0,7.0,8.0,3.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,-3.0,1.0,11.0,13.0,16.0,-4.0,-25.0,-8.0,1.0,23.0,-22.0,-33.0,-40.0,-36.0,-37.0,-36.0,-35.0,-35.0,-40.0,-37.0,-33.0,-33.0,-36.0,-30.0,-37.0,-32.0,-36.0,-40.0,-35.0,-40.0,-34.0,-37.0,-41.0,-41.0,-39.0,-34.0,-40.0,-31.0,-34.0,-24.0,-23.0,-21.0,-11.0,-12.0,-6.0,-31.0,-15.0,-27.0,-25.0,-16.0,-22.0,-12.0,-20.0,-11.0,-26.0,-24.0,-16.0,-20.0
Antigua and Barbuda,-1.0,-2.0,-3.0,-6.0,-1.0,-2.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0,7.0,9.0,8.0,5.0,4.0,4.0,8.0,6.0,2.0,4.0,4.0,9.0,14.0,19.0,2.0,-2.0,-5.0,-7.0,-9.0,-3.0,-2.0,0.0,-18.0,-14.0,-9.0,-5.0,-8.0,2.0,-7.0,-21.0,-15.0,3.0,15.0,-75.0,-68.0,-63.0,-55.0,-59.0,-53.0,-50.0,-34.0,-95.0,-45.0,-52.0,-69.0,-52.0,-46.0,-48.0,-47.0,-50.0,-50.0,-50.0,-50.0,-49.0,-33.0,-36.0,-40.0,-43.0,-39.0,-36.0,-31.0,-28.0,-30.0,-32.0,-32.0,-56.0,-27.0,-20.0,-26.0,-23.0,-25.0,-28.0,-30.0,-28.0,-29.0
Argentina,-53.0,-86.0,-65.0,-19.0,15.0,-18.0,93.0,134.0,167.0,-434.0,-471.0,53.0,26.0,72.0,181.0,120.0,148.0,125.0,96.0,129.0,208.0,215.0,181.0,157.0,171.0,44.0,156.0,209.0,188.0,303.0,140.0,-275.0,-360.0,-86.0,-1069.0,-1237.0,-1526.0,-1608.0,-1607.0,-1291.0,-1334.0,-1252.0,-1183.0,-1533.0,-1300.0,-1475.0,-1162.0,-1224.0,-1051.0,-1004.0,-1338.0,-1019.0,-772.0,-701.0,-736.0,-1560.0,-824.0,-1273.0,-940.0,-820.0,-791.0,-790.0,-747.0,-873.0,-1331.0,-923.0,-880.0,-858.0,-887.0,-846.0,-867.0,-1333.0,-978.0,-871.0,-720.0,-489.0,-1808.0,-674.0,-1203.0,-743.0,-671.0,-571.0,-542.0,-431.0,-421.0,-993.0,-541.0,-482.0,-492.0
Aruba,3.0,-9.0,-1.0,-5.0,-8.0,-1.0,9.0,10.0,-15.0,-30.0,3.0,-1.0,2.0,6.0,13.0,6.0,6.0,2.0,3.0,1.0,5.0,8.0,0.0,3.0,-1.0,-1.0,3.0,40.0,15.0,-13.0,1.0,8.0,-59.0,-5.0,-7.0,-19.0,-36.0,-19.0,-21.0,-20.0,-15.0,-3.0,-3.0,-66.0,-43.0,-38.0,-36.0,-36.0,-31.0,-32.0,-50.0,-31.0,-29.0,-21.0,-11.0,-96.0,-18.0,-92.0,-90.0,-20.0,-29.0,-31.0,-27.0,-33.0,-55.0,-31.0,-36.0,-31.0,-29.0,-19.0,-19.0,-29.0,-82.0,-14.0,-17.0,-2.0,-79.0,-7.0,-33.0,-15.0,-16.0,-16.0,-16.0,-8.0,1.0,-26.0,-23.0,-21.0,-22.0
Australia,32.0,59.0,15.0,-16.0,4.0,12.0,28.0,36.0,50.0,18.0,-4.0,8.0,10.0,43.0,53.0,73.0,48.0,50.0,94.0,76.0,107.0,94.0,63.0,11.0,69.0,69.0,81.0,127.0,160.0,195.0,276.0,273.0,277.0,223.0,176.0,105.0,82.0,176.0,53.0,52.0,26.0,28.0,-67.0,-154.0,-88.0,-109.0,-94.0,-105.0,-47.0,-112.0,-152.0,-84.0,-73.0,-23.0,157.0,-483.0,-1.0,-321.0,-213.0,-59.0,-68.0,-56.0,-27.0,-102.0,-154.0,-112.0,-111.0,-95.0,-84.0,-18.0,-231.0,-41.0,-75.0,-80.0,-100.0,-59.0,-19.0,-4.0,-53.0,-111.0,-31.0,-31.0,-12.0,42.0,114.0,-21.0,-47.0,-38.0,-26.0
Austria,9.0,200.0,63.0,55.0,29.0,23.0,48.0,38.0,224.0,110.0,92.0,97.0,77.0,89.0,34.0,80.0,61.0,34.0,37.0,28.0,23.0,3.0,129.0,40.0,85.0,162.0,235.0,453.0,-85.0,-254.0,-151.0,-328.0,-313.0,-298.0,-297.0,-405.0,-662.0,-315.0,-340.0,-351.0,-326.0,-283.0,-325.0,-561.0,-320.0,-253.0,-316.0,-297.0,-264.0,-323.0,-467.0,-267.0,-252.0,-224.0,-151.0,-181.0,-296.0,-461.0,-938.0,-172.0,-219.0,-184.0,-179.0,-226.0,-389.0,-248.0,-219.0,-218.0,-183.0,-181.0,-198.0,-295.0,-226.0,-195.0,-130.0,131.0,-908.0,38.0,-247.0,-87.0,-93.0,-63.0,-59.0,-29.0,-21.0,-207.0,-169.0,-101.0,-118.0
Bahrain,3.0,-1.0,-1.0,-4.0,-4.0,-2.0,2.0,2.0,-2.0,0.0,4.0,2.0,0.0,-5.0,-1.0,-1.0,-1.0,-3.0,-3.0,-2.0,-3.0,-3.0,-5.0,-5.0,-5.0,-6.0,-1.0,-5.0,-6.0,0.0,-4.0,-8.0,-10.0,-10.0,-17.0,-14.0,-12.0,-7.0,-8.0,-7.0,-16.0,-32.0,-25.0,-22.0,-20.0,-18.0,-18.0,-16.0,-25.0,-19.0,-16.0,-16.0,-17.0,-17.0,-13.0,-24.0,-15.0,-13.0,-14.0,-15.0,-14.0,-11.0,-22.0,-17.0,-16.0,-10.0,-10.0,-6.0,-2.0,-27.0,-23.0,-16.0,-15.0,-16.0,-17.0,-15.0,-25.0,-20.0,-17.0,-16.0,-17.0,-17.0,-12.0,-21.0,-16.0,-14.0,-13.0,-16.0,-16.0
Bangladesh,6.0,3.0,4.0,3.0,1.0,4.0,6.0,4.0,4.0,3.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,9.0,-8.0,8.0,9.0,8.0,7.0,6.0,7.0,7.0,3.0,6.0,9.0,3.0,5.0,3.0,-2.0,-5.0,-8.0,-7.0,-9.0,-26.0,-51.0,-47.0,-48.0,-46.0,-45.0,-43.0,-44.0,-49.0,-46.0,-46.0,-44.0,-49.0,-50.0,-51.0,-54.0,-56.0,-55.0,-54.0,-53.0,-55.0,-56.0,-54.0,-54.0,-55.0,-53.0,-54.0,-53.0,-53.0,-53.0,-50.0,-54.0,-56.0,-53.0,-54.0,-51.0,-51.0,-53.0,-52.0,-48.0,-48.0,-48.0,-48.0,-44.0,-43.0,-42.0,-37.0,-36.0,-35.0,-39.0
Barbados,34.0,23.0,-27.0,-14.0,-21.0,6.0,23.0,42.0,38.0,-15.0,36.0,23.0,41.0,42.0,14.0,0.0,-5.0,18.0,13.0,23.0,27.0,-3.0,4.0,-28.0,-9.0,19.0,80.0,95.0,43.0,3.0,18.0,120.0,58.0,49.0,26.0,-5.0,-29.0,-17.0,-13.0,-32.0,-19.0,-12.0,-159.0,-251.0,-275.0,-239.0,-204.0,-188.0,-152.0,-489.0,-279.0,-273.0,-262.0,-217.0,-184.0,-285.0,-196.0,-268.0,-280.0,-238.0,-138.0,-148.0,-149.0,-171.0,-180.0,-164.0,-169.0,-136.0,-157.0,-148.0,-166.0,-173.0,-142.0,-274.0,-114.0,-90.0,-268.0,-142.0,-179.0,-124.0,-125.0,-99.0,-112.0,-111.0,-114.0,-151.0,-131.0,-131.0,-104.0
Belarus,9.0,2.0,2.0,3.0,7.0,8.0,8.0,10.0,6.0,0.0,3.0,7.0,2.0,6.0,6.0,1.0,1.0,6.0,7.0,9.0,11.0,20.0,20.0,2.0,6.0,4.0,0.0,8.0,0.0,5.0,6.0,7.0,10.0,5.0,12.0,5.0,-1.0,3.0,5.0,12.0,8.0,10.0,7.0,5.0,-2.0,2.0,-1.0,-4.0,-7.0,-5.0,-4.0,-2.0,4.0,0.0,-4.0,0.0,-7.0,-5.0,-9.0,-7.0,-6.0,-5.0,5.0,1.0,-28.0,-14.0,-7.0,-3.0,-5.0,-1.0,-5.0,-2.0,-6.0,-9.0,-6.0,1.0,-11.0,-18.0,-5.0,-6.0,-5.0,-4.0,-1.0,9.0,-4.0,0.0,2.0,-6.0,0.0
Belgium,12.0,-12.0,7.0,12.0,3.0,-6.0,9.0,-2.0,-32.0,-5.0,4.0,-20.0,-12.0,7.0,8.0,20.0,22.0,25.0,17.0,1.0,18.0,9.0,-5.0,13.0,13.0,15.0,82.0,151.0,-36.0,-79.0,53.0,106.0,-51.0,-104.0,-104.0,-167.0,-191.0,-114.0,-98.0,-127.0,-113.0,-100.0,-157.0,-226.0,-131.0,-113.0,-133.0,-122.0,-102.0,-140.0,-159.0,-121.0,-91.0,-110.0,-88.0,-73.0,-115.0,-173.0,-304.0,-60.0,-105.0,-94.0,-90.0,-150.0,-187.0,-125.0,-100.0,-110.0,-90.0,-90.0,-125.0,-146.0,-116.0,-106.0,-93.0,-23.0,-273.0,-90.0,-154.0,-88.0,-72.0,-84.0,-62.0,-62.0,-82.0,-114.0,-83.0,-53.0,-68.0
Belize,4.0,1.0,-2.0,-1.0,-5.0,1.0,-2.0,1.0,1.0,-1.0,0.0,-1.0,5.0,3.0,7.0,3.0,1.0,0.0,1.0,7.0,2.0,3.0,4.0,-25.0,7.0,6.0,25.0,27.0,22.0,5.0,9.0,8.0,6.0,17.0,31.0,24.0,-13.0,15.0,-16.0,-11.0,-37.0,-34.0,-40.0,-49.0,-29.0,-20.0,-20.0,-50.0,-47.0,-51.0,-64.0,-47.0,-48.0,-47.0,-27.0,-92.0,-50.0,-94.0,-68.0,-44.0,-41.0,-40.0,-41.0,-45.0,-94.0,-45.0,-42.0,-47.0,-49.0,-47.0,-45.0,-59.0,-39.0,-35.0,-28.0,-14.0,-55.0,-28.0,-49.0,-27.0,-26.0,-24.0,-24.0,-24.0,-14.0,-25.0,-26.0,-22.0,-27.0
Benin,4.0,2.0,1.0,0.0,0.0,2.0,6.0,6.0,4.0,5.0,6.0,4.0,5.0,6.0,4.0,4.0,3.0,2.0,4.0,4.0,-2.0,6.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,5.0,6.0,3.0,4.0,1.0,-1.0,2.0,-6.0,3.0,3.0,6.0,7.0,0.0,-9.0,-9.0,-9.0,-5.0,-5.0,-8.0,-6.0,-3.0,-4.0,-11.0,-12.0,-11.0,-12.0,-13.0,-21.0,-9.0,-7.0,-5.0,-9.0,-9.0,-13.0,-6.0,-6.0,-10.0,-6.0,-9.0,-10.0,-20.0,-9.0,-9.0,-11.0,-4.0,-15.0,-9.0,-20.0,-6.0,-6.0,-2.0,-2.0,-2.0,-3.0,-14.0,0.0,-2.0,1.0
Bolivia,4.0,7.0,2.0,1.0,3.0,5.0,6.0,8.0,6.0,-16.0,-32.0,-12.0,-3.0,-2.0,0.0,0.0,-1.0,0.0,1.0,2.0,3.0,6.0,5.0,2.0,2.0,8.0,8.0,3.0,1.0,-4.0,-14.0,-8.0,-19.0,-29.0,-28.0,-5.0,-69.0,-75.0,-72.0,-73.0,-76.0,-72.0,-95.0,-94.0,-70.0,-70.0,-69.0,-70.0,-64.0,-95.0,-94.0,-66.0,-67.0,-64.0,-62.0,-92.0,-67.0,-93.0,-64.0,-73.0,-72.0,-70.0,-67.0,-92.0,-93.0,-68.0,-69.0,-68.0,-68.0,-65.0,-94.0,-93.0,-67.0,-67.0,-69.0,-66.0,-88.0,-67.0,-90.0,-65.0,-67.0,-68.0,-65.0,-61.0,-91.0,-90.0,-58.0,-63.0,-59.0
Bosnia and Herzegovina,6.0,10.0,2.0,7.0,2.0,2.0,4.0,4.0,7.0,1.0,12.0,1.0,0.0,0.0,4.0,0.0,-6.0,7.0,3.0,12.0,6.0,11.0,17.0,1.0,14.0,12.0,16.0,11.0,5.0,3.0,10.0,1.0,-5.0,-15.0,-20.0,-33.0,-41.0,-35.0,-40.0,-41.0,-41.0,-42.0,-47.0,-50.0,-42.0,-39.0,-40.0,-36.0,-33.0,-41.0,-45.0,-30.0,-21.0,-28.0,-27.0,-24.0,-34.0,-38.0,-33.0,-30.0,-23.0,-15.0,-29.0,-36.0,-55.0,-35.0,-27.0,-28.0,-24.0,-26.0,-31.0,-34.0,-24.0,-17.0,-18.0,0.0,-64.0,-43.0,-41.0,-11.0,-8.0,-17.0,-8.0,-7.0,-19.0,-10.0,-5.0,1.0,-6.0
Botswana,-8.0,-6.0,-13.0,-11.0,-4.0,4.0,11.0,7.0,-2.0,-10.0,-5.0,-4.0,3.0,10.0,11.0,10.0,-1.0,1.0,-4.0,-3.0,1.0,-3.0,-2.0,-11.0,-12.0,-13.0,-14.0,-4.0,-12.0,-11.0,-18.0,-17.0,-14.0,-7.0,9.0,8.0,1.0,-2.0,7.0,13.0,29.0,35.0,8.0,-2.0,-4.0,10.0,7.0,11.0,-67.0,-66.0,-66.0,-59.0,-61.0,-65.0,-60.0,-67.0,-63.0,-64.0,-68.0,-53.0,-54.0,-53.0,-48.0,-58.0,-63.0,-54.0,-52.0,-52.0,-50.0,-43.0,-48.0,-56.0,-51.0,-48.0,-43.0,-38.0,-51.0,-49.0,-55.0,-46.0,-51.0,-51.0,-44.0,-38.0,-41.0,-42.0,-36.0,-36.0,-34.0
Brazil,99.0,65.0,-7.0,-42.0,-71.0,73.0,235.0,175.0,148.0,-287.0,-853.0,-349.0,-36.0,60.0,139.0,107.0,70.0,70.0,53.0,132.0,232.0,315.0,288.0,98.0,124.0,29.0,25.0,91.0,158.0,130.0,121.0,173.0,98.0,-62.0,-32.0,-415.0,-915.0,-779.0,-941.0,-933.0,-880.0,-775.0,-784.0,-936.0,-718.0,-567.0,-489.0,-485.0,-407.0,-387.0,-666.0,-396.0,-236.0,-209.0,142.0,-1220.0,-257.0,-705.0,-529.0,-569.0,-495.0,-447.0,-366.0,-433.0,-666.0,-391.0,-1045.0,-432.0,-503.0,-434.0,-412.0,-638.0,-492.0,-409.0,-377.0,38.0,-983.0,-186.0,-563.0,-227.0,-161.0,-119.0,-3.0,109.0,185.0,-137.0,-317.0,-324.0,-404.0
Bulgaria,4.0,175.0,112.0,117.0,82.0,-15.0,86.0,-14.0,62.0,-45.0,78.0,181.0,131.0,120.0,326.0,342.0,229.0,-116.0,58.0,165.0,122.0,295.0,471.0,170.0,102.0,261.0,316.0,585.0,40.0,-654.0,-521.0,-666.0,-686.0,-755.0,-749.0,-1031.0,-1167.0,-1022.0,-1119.0,-923.0,-906.0,-886.0,-1001.0,-1096.0,-820.0,-875.0,-925.0,-876.0,-749.0,-1028.0,-1122.0,-646.0,-402.0,-364.0,-414.0,-403.0,-496.0,-573.0,-386.0,-295.0,-105.0,65.0,-551.0,-1012.0,-1117.0,-1232.0,-565.0,-390.0,-403.0,-470.0,-566.0,-533.0,-370.0,-304.0,-259.0,-80.0,-528.0,-644.0,-558.0,-293.0,48.0,-445.0,-65.0,-53.0,-120.0,-139.0,-12.0,-51.0,15.0
Burkina Faso,1.0,2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,0.0,-1.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0,1.0,4.0,-5.0,2.0,1.0,-2.0,-4.0,-4.0,-1.0,-2.0,0.0,0.0,-4.0,-7.0,-18.0,-19.0,-14.0,-10.0,-14.0,-18.0,-24.0,-27.0,-25.0,-24.0,-21.0,-22.0,-22.0,-25.0,-26.0,-25.0,-23.0,-20.0,-22.0,-21.0,-23.0,-22.0,-24.0,-30.0,-20.0,-24.0,-22.0,-24.0,-26.0,-23.0,-17.0,-12.0,-12.0,-10.0,-18.0,-19.0,-18.0,-14.0,-12.0,-13.0,-11.0,-23.0,-19.0,-21.0,-16.0,-12.0,-9.0,-8.0,-9.0,-12.0,-12.0,-8.0,-6.0,-8.0
