sub_region_1,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Aargau,1.0,10.0,-2.0,2.0,-1.0,-1.0,0.0,0.0,25.0,2.0,5.0,5.0,4.0,10.0,5.0,9.0,0.0,3.0,2.0,-5.0,-2.0,1.0,3.0,-3.0,0.0,3.0,7.0,24.0,13.0,15.0,33.0,7.0,5.0,5.0,5.0,-21.0,-36.0,-12.0,-13.0,-10.0,-8.0,-4.0,-12.0,-35.0,-12.0,7.0,6.0,7.0,9.0,2.0,4.0,6.0,12.0,28.0,48.0,-84.0,19.0,0.0,-81.0,6.0,-3.0,-4.0,-1.0,-7.0,0.0,-12.0,-7.0,-6.0,-4.0,5.0,-3.0,0.0,-1.0,0.0,2.0,6.0,0.0,0.0,0.0,-5.0,-3.0,3.0,4.0,9.0,9.0,20.0,4.0,9.0,5.0
Aberdeen City,-4.0,0.0,0.0,0.0,-2.0,3.0,-1.0,1.0,0.0,-7.0,6.0,0.0,2.0,0.0,4.0,3.0,3.0,4.0,6.0,5.0,2.0,2.0,5.0,2.0,5.0,4.0,9.0,9.0,8.0,5.0,17.0,17.0,19.0,20.0,7.0,1.0,-15.0,-14.0,-26.0,-26.0,-28.0,-28.0,-36.0,-41.0,-32.0,-30.0,-30.0,-33.0,-29.0,-31.0,-37.0,-30.0,-30.0,-32.0,-24.0,-25.0,-25.0,-42.0,-38.0,-29.0,-27.0,-29.0,-27.0,-29.0,-33.0,-31.0,-29.0,-30.0,-26.0,-27.0,-27.0,-34.0,-32.0,-29.0,-29.0,-27.0,-27.0,-26.0,-33.0,-28.0,-27.0,-22.0,-19.0,-25.0,-29.0,-31.0,-26.0,-29.0,-26.0
Aberdeenshire,-4.0,-3.0,4.0,3.0,0.0,2.0,0.0,-1.0,1.0,-5.0,5.0,0.0,4.0,0.0,3.0,2.0,2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-3.0,0.0,2.0,12.0,10.0,7.0,8.0,20.0,25.0,24.0,27.0,9.0,8.0,-10.0,-7.0,-23.0,-28.0,-29.0,-31.0,-39.0,-46.0,-34.0,-32.0,-33.0,-36.0,-34.0,-39.0,-44.0,-35.0,-31.0,-32.0,-29.0,-35.0,-35.0,-48.0,-39.0,-31.0,-30.0,-31.0,-31.0,-34.0,-41.0,-31.0,-29.0,-30.0,-26.0,-30.0,-34.0,-39.0,-31.0,-29.0,-30.0,-27.0,-30.0,-33.0,-40.0,-29.0,-27.0,-26.0,-21.0,-30.0,-34.0,-39.0,-28.0,-29.0,-27.0
Abia,1.0,-1.0,-3.0,-8.0,-3.0,-7.0,-1.0,-3.0,-4.0,-7.0,-6.0,-9.0,-10.0,-4.0,-12.0,-1.0,-4.0,-4.0,-7.0,-6.0,-2.0,5.0,-2.0,-3.0,0.0,0.0,-6.0,-4.0,-2.0,-10.0,-7.0,-6.0,-3.0,-5.0,-3.0,-5.0,-15.0,-13.0,-4.0,-1.0,-6.0,-8.0,-16.0,-9.0,-8.0,-10.0,-58.0,-56.0,-54.0,-49.0,-32.0,-53.0,-52.0,-51.0,-51.0,-28.0,-17.0,-27.0,-60.0,-52.0,-54.0,-52.0,-47.0,-17.0,-23.0,-56.0,-55.0,-54.0,-53.0,-52.0,-49.0,-42.0,-57.0,-51.0,-52.0,-50.0,-53.0,-47.0,-38.0,-41.0,-43.0,-41.0,-40.0,-38.0,-37.0,-30.0,-27.0,-42.0,-16.0
Abruzzo,2.0,8.0,2.0,2.0,-1.0,4.0,3.0,6.0,17.0,19.0,7.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,5.0,7.0,3.0,6.0,10.0,5.0,1.0,-18.0,-29.0,-32.0,-42.0,-60.0,-38.0,-43.0,-44.0,-46.0,-42.0,-49.0,-82.0,-44.0,-55.0,-53.0,-58.0,-46.0,-53.0,-84.0,-46.0,-43.0,-39.0,-39.0,-35.0,-43.0,-79.0,-35.0,-34.0,-32.0,-27.0,-22.0,-38.0,-94.0,-95.0,-46.0,-35.0,-37.0,-33.0,-47.0,-92.0,-46.0,-49.0,-50.0,-41.0,-25.0,-94.0,-90.0,-31.0,-39.0,-37.0,-23.0,-93.0,-35.0,-90.0,-23.0,-27.0,-29.0,-27.0,-22.0,-24.0,-84.0,-25.0,-23.0,-23.0
Abu Dhabi,6.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,7.0,9.0,10.0,12.0,10.0,7.0,9.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,9.0,7.0,3.0,2.0,0.0,-6.0,-6.0,-9.0,15.0,-3.0,-17.0,-11.0,-55.0,-41.0,-24.0,-24.0,-23.0,-22.0,-21.0,-34.0,-23.0,-19.0,-21.0,-19.0,-21.0,-22.0,-34.0,-21.0,-20.0,-21.0,-23.0,-23.0,-23.0,-32.0,-31.0,-32.0,-32.0,-32.0,-29.0,-26.0,-35.0,-32.0,-31.0,-31.0,-30.0,-28.0,-29.0,-35.0,-27.0,-27.0,-27.0,-27.0,-24.0,-26.0,-37.0,-28.0,-24.0,-26.0,-25.0,-25.0
Aceh,-2.0,3.0,1.0,-1.0,-3.0,2.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0,0.0,-1.0,-1.0,2.0,5.0,7.0,6.0,7.0,5.0,8.0,5.0,4.0,-2.0,5.0,5.0,4.0,3.0,4.0,6.0,4.0,3.0,4.0,1.0,-3.0,-6.0,-2.0,-4.0,-13.0,-14.0,-7.0,-14.0,-21.0,-25.0,-25.0,-23.0,-18.0,-22.0,-19.0,-19.0,-20.0,-10.0,-16.0,-12.0,-17.0,-15.0,-21.0,-12.0,-11.0,-10.0,-7.0,-13.0,-8.0,-9.0,0.0,3.0,8.0,6.0,-19.0,-20.0,-19.0,-16.0,-23.0,-15.0,-17.0,-19.0,-14.0,-17.0,-11.0,-10.0,-2.0,-18.0,-23.0,-9.0,-9.0,-2.0,0.0,-9.0
Adamawa,0.0,0.0,2.0,3.0,6.0,6.0,1.0,6.0,3.0,-2.0,2.0,-3.0,5.0,-3.0,13.0,3.0,2.0,0.0,0.0,5.0,3.0,6.0,5.0,11.0,-3.0,5.0,-10.0,0.0,1.0,5.0,-3.0,-6.0,0.0,-5.0,-1.0,-15.0,-6.0,-6.0,-8.0,5.0,3.0,4.0,-1.0,2.0,10.0,3.0,-15.0,-10.0,-13.0,-13.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Administrative unit Maribor,1.0,8.0,-1.0,2.0,2.0,5.0,0.0,-2.0,1.0,-1.0,2.0,-8.0,-1.0,-1.0,-7.0,2.0,-1.0,-3.0,3.0,6.0,-2.0,1.0,23.0,-1.0,2.0,8.0,30.0,20.0,-20.0,-35.0,-35.0,-47.0,-42.0,-44.0,-42.0,-48.0,-95.0,-44.0,-51.0,-46.0,-51.0,-46.0,-43.0,-95.0,-52.0,-52.0,-52.0,-51.0,-45.0,-45.0,-93.0,-46.0,-46.0,-41.0,-37.0,-33.0,-39.0,-95.0,-95.0,-44.0,-41.0,-42.0,-34.0,-35.0,-94.0,-40.0,-43.0,-38.0,-38.0,-34.0,-23.0,-91.0,-94.0,-21.0,-21.0,12.0,-93.0,-91.0,-31.0,-24.0,-23.0,-23.0,-24.0,-23.0,-21.0,-90.0,-23.0,-24.0,-23.0
Agder,-3.0,-8.0,-2.0,-4.0,4.0,-4.0,-4.0,-1.0,8.0,5.0,-5.0,6.0,5.0,8.0,-5.0,-5.0,3.0,-5.0,5.0,3.0,5.0,1.0,-11.0,3.0,0.0,8.0,49.0,5.0,-11.0,-42.0,-7.0,-17.0,-14.0,-12.0,-14.0,-12.0,-24.0,-12.0,-13.0,-12.0,-10.0,-9.0,-10.0,-21.0,-10.0,-5.0,-5.0,-6.0,-4.0,-7.0,-8.0,10.0,24.0,44.0,-78.0,-80.0,-3.0,-19.0,-77.0,7.0,-1.0,-3.0,2.0,3.0,10.0,6.0,8.0,11.0,11.0,9.0,7.0,22.0,7.0,4.0,10.0,36.0,-71.0,30.0,30.0,7.0,8.0,11.0,13.0,10.0,10.0,20.0,9.0,14.0,15.0
