country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Afghanistan,0.0,1.0,2.0,3.0,1.0,-1.0,4.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,8.0,4.0,4.0,-4.0,1.0,2.0,1.0,6.0,5.0,5.0,2.0,3.0,5.0,5.0,7.0,1.0,-2.0,0.0,-1.0,-3.0,-4.0,-2.0,-7.0,-13.0,-15.0,-14.0,-9.0,-10.0,-8.0,-11.0,-13.0,-11.0,-11.0,-12.0,-13.0,-10.0,-12.0,-18.0,-13.0,-14.0,-10.0,-13.0,-12.0,-15.0,-16.0,-13.0,-13.0,-14.0,-16.0,-25.0,-23.0,-23.0,-22.0,-19.0,-16.0,-19.0,-23.0,-22.0,-27.0,-22.0,-21.0,-20.0,-21.0,-18.0,-20.0,-24.0,-19.0,-19.0,-19.0
Angola,7.0,-11.0,2.0,-4.0,-3.0,0.0,3.0,14.0,5.0,3.0,-12.0,-2.0,5.0,8.0,9.0,-1.0,8.0,8.0,12.0,17.0,10.0,18.0,4.0,7.0,3.0,5.0,10.0,5.0,8.0,-4.0,1.0,0.0,-1.0,5.0,-5.0,-8.0,-29.0,-31.0,-21.0,-24.0,-9.0,-32.0,-28.0,-39.0,-35.0,-37.0,-40.0,-34.0,-41.0,-37.0,-48.0,-37.0,-41.0,-41.0,-34.0,-49.0,-37.0,-45.0,-39.0,-40.0,-41.0,-36.0,-43.0,-39.0,-47.0,-38.0,-37.0,-41.0,-36.0,-39.0,-27.0,-41.0,-26.0,-19.0,-22.0,-13.0,-38.0,-21.0,-40.0,-24.0,-26.0,-26.0,-19.0,-27.0,-19.0,-37.0,-24.0,-21.0,-25.0
Antigua and Barbuda,-6.0,0.0,3.0,3.0,1.0,0.0,2.0,7.0,14.0,-1.0,1.0,-3.0,0.0,5.0,7.0,12.0,8.0,3.0,4.0,3.0,-1.0,5.0,13.0,1.0,1.0,2.0,6.0,0.0,-4.0,-10.0,-8.0,-16.0,-14.0,-15.0,-18.0,-17.0,-29.0,-22.0,-31.0,-24.0,-25.0,-22.0,-29.0,-30.0,-29.0,-27.0,-19.0,-75.0,-70.0,-67.0,-65.0,-61.0,-61.0,-61.0,-57.0,-80.0,-56.0,-60.0,-62.0,-59.0,-59.0,-55.0,-55.0,-54.0,-55.0,-49.0,-53.0,-53.0,-39.0,-40.0,-38.0,-42.0,-39.0,-40.0,-38.0,-39.0,-35.0,-32.0,-41.0,-40.0,-34.0,-27.0,-31.0,-26.0,-25.0,-28.0,-29.0,-31.0,-28.0
Argentina,-158.0,-265.0,-306.0,-126.0,91.0,-35.0,-54.0,175.0,313.0,397.0,-169.0,18.0,-109.0,-140.0,-131.0,-202.0,-98.0,-146.0,-76.0,-108.0,-128.0,-257.0,-184.0,-84.0,-158.0,-322.0,-306.0,-360.0,-721.0,-897.0,-958.0,-1197.0,-1293.0,-1389.0,-1936.0,-2070.0,-2181.0,-2145.0,-2146.0,-2029.0,-2035.0,-1987.0,-2039.0,-2162.0,-2005.0,-2070.0,-1931.0,-1967.0,-1874.0,-1942.0,-2089.0,-1846.0,-1710.0,-1663.0,-1776.0,-2087.0,-1913.0,-2082.0,-1719.0,-1669.0,-1709.0,-2240.0,-2250.0,-2285.0,-2334.0,-2239.0,-2240.0,-2226.0,-2240.0,-2250.0,-2285.0,-2338.0,-2258.0,-2233.0,-2207.0,-2191.0,-2318.0,-2264.0,-2312.0,-2210.0,-2194.0,-2164.0,-2153.0,-2154.0,-2194.0,-2269.0,-2148.0,-2137.0,-2117.0
Aruba,12.0,4.0,16.0,8.0,3.0,0.0,9.0,-4.0,21.0,24.0,8.0,4.0,-1.0,7.0,10.0,5.0,2.0,20.0,9.0,-1.0,6.0,16.0,4.0,12.0,10.0,1.0,4.0,-4.0,-7.0,-6.0,-5.0,-18.0,-24.0,-41.0,-41.0,-52.0,-52.0,-48.0,-49.0,-56.0,-54.0,-50.0,-50.0,-80.0,-63.0,-61.0,-62.0,-59.0,-55.0,-57.0,-51.0,-47.0,-48.0,-53.0,-48.0,-88.0,-52.0,-82.0,-69.0,-45.0,-52.0,-48.0,-44.0,-54.0,-53.0,-45.0,-47.0,-52.0,-45.0,-44.0,-44.0,-40.0,-31.0,-37.0,-42.0,-38.0,-35.0,-39.0,-35.0,-29.0,-28.0,-36.0,-35.0,-31.0,-26.0,-26.0,-23.0,-28.0,-34.0
Australia,-3.0,65.0,-8.0,-82.0,-24.0,42.0,36.0,221.0,90.0,-38.0,-21.0,-29.0,-22.0,36.0,188.0,152.0,10.0,-60.0,-105.0,-126.0,0.0,130.0,121.0,161.0,-49.0,22.0,36.0,-37.0,-84.0,-18.0,-101.0,-132.0,-109.0,-88.0,-91.0,-57.0,-87.0,-205.0,-228.0,-250.0,-178.0,-238.0,-263.0,-272.0,-301.0,-290.0,-293.0,-369.0,-350.0,-455.0,-376.0,-287.0,-310.0,-305.0,-260.0,-363.0,-428.0,-308.0,-122.0,-273.0,-244.0,-241.0,-264.0,-304.0,-255.0,-304.0,-252.0,-220.0,-240.0,-208.0,-222.0,-308.0,-148.0,-288.0,-380.0,-372.0,-361.0,-306.0,-109.0,-171.0,-247.0,-237.0,-214.0,-183.0,-260.0,-92.0,-224.0,-246.0,-225.0
Austria,429.0,372.0,275.0,400.0,72.0,142.0,66.0,539.0,-12.0,183.0,535.0,22.0,81.0,-10.0,104.0,33.0,92.0,-10.0,100.0,43.0,-103.0,-4.0,410.0,-31.0,76.0,115.0,208.0,-180.0,-90.0,-73.0,-345.0,-322.0,-161.0,-240.0,-252.0,-670.0,-565.0,-542.0,-385.0,-532.0,-537.0,-327.0,-138.0,-389.0,-557.0,-391.0,-290.0,-287.0,-393.0,-302.0,-69.0,-193.0,4.0,-60.0,-134.0,-179.0,-151.0,-55.0,-115.0,-345.0,-99.0,-43.0,-59.0,-40.0,-332.0,-159.0,33.0,65.0,17.0,-59.0,-8.0,250.0,-123.0,158.0,-378.0,-55.0,99.0,-65.0,44.0,-25.0,-161.0,43.0,178.0,243.0,257.0,126.0,-116.0,-44.0,-116.0
Bahrain,-11.0,-7.0,-11.0,-6.0,-10.0,-11.0,-1.0,-2.0,-1.0,-10.0,-11.0,-24.0,-22.0,-26.0,-15.0,-7.0,-16.0,-12.0,-15.0,-15.0,-16.0,-12.0,-11.0,-16.0,-10.0,-16.0,-21.0,-25.0,-23.0,-14.0,-18.0,-16.0,-28.0,-30.0,-41.0,-32.0,-30.0,-37.0,-38.0,-43.0,-49.0,-66.0,-49.0,-40.0,-42.0,-37.0,-40.0,-43.0,-56.0,-40.0,-31.0,-37.0,-35.0,-41.0,-45.0,-60.0,-44.0,-35.0,-39.0,-35.0,-40.0,-40.0,-54.0,-37.0,-30.0,-33.0,-29.0,-35.0,-40.0,-64.0,-47.0,-35.0,-40.0,-35.0,-40.0,-42.0,-57.0,-42.0,-31.0,-36.0,-33.0,-36.0,-39.0,-51.0,-37.0,-29.0,-34.0,-31.0,-37.0
Bangladesh,10.0,5.0,3.0,2.0,3.0,4.0,18.0,10.0,8.0,5.0,1.0,5.0,8.0,16.0,14.0,5.0,3.0,2.0,5.0,6.0,-9.0,11.0,10.0,6.0,5.0,5.0,4.0,6.0,3.0,5.0,4.0,7.0,-2.0,-9.0,-18.0,-14.0,-13.0,-16.0,-15.0,-17.0,-31.0,-35.0,-28.0,-26.0,-26.0,-25.0,-25.0,-31.0,-34.0,-29.0,-29.0,-31.0,-31.0,-31.0,-36.0,-40.0,-34.0,-32.0,-31.0,-32.0,-32.0,-32.0,-36.0,-35.0,-34.0,-33.0,-32.0,-33.0,-36.0,-41.0,-38.0,-39.0,-36.0,-36.0,-33.0,-36.0,-42.0,-36.0,-35.0,-34.0,-35.0,-33.0,-36.0,-38.0,-33.0,-32.0,-30.0,-30.0,-31.0
Barbados,11.0,27.0,-3.0,-12.0,-48.0,4.0,14.0,8.0,9.0,-2.0,7.0,29.0,46.0,85.0,134.0,53.0,18.0,7.0,22.0,10.0,34.0,11.0,23.0,4.0,8.0,20.0,-2.0,5.0,4.0,15.0,-20.0,-28.0,-33.0,-53.0,-65.0,-82.0,-121.0,-90.0,-89.0,-70.0,-82.0,-73.0,-122.0,-183.0,-176.0,-160.0,-155.0,-166.0,-157.0,-276.0,-171.0,-152.0,-243.0,-224.0,-203.0,-249.0,-285.0,-233.0,-146.0,-206.0,-184.0,-193.0,-246.0,-273.0,-227.0,-191.0,-188.0,-244.0,-195.0,-249.0,-266.0,-214.0,-169.0,-233.0,-236.0,-164.0,-221.0,-267.0,-213.0,-139.0,-142.0,-120.0,-127.0,-173.0,-113.0,-150.0,-123.0,-115.0,-107.0
