country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Afghanistan,5.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,6.0,1.0,2.0,3.0,6.0,7.0,5.0,11.0,10.0,11.0,12.0,11.0,13.0,6.0,10.0,12.0,11.0,10.0,14.0,17.0,11.0,16.0,15.0,14.0,15.0,14.0,16.0,11.0,14.0,13.0,12.0,11.0,11.0,13.0,14.0,18.0,17.0,16.0,13.0,14.0,17.0,13.0,16.0,16.0,14.0,15.0,15.0,16.0,10.0,12.0,14.0,12.0,13.0,13.0
Angola,1.0,2.0,0.0,-1.0,1.0,-1.0,0.0,0.0,1.0,12.0,13.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-1.0,1.0,2.0,-1.0,0.0,0.0,0.0,2.0,5.0,13.0,26.0,12.0,15.0,11.0,26.0,20.0,22.0,30.0,29.0,28.0,28.0,32.0,24.0,22.0,28.0,28.0,28.0,27.0,36.0,22.0,21.0,29.0,27.0,29.0,25.0,31.0,23.0,21.0,28.0,27.0,28.0,26.0,29.0,18.0,19.0,21.0,17.0,20.0,18.0,31.0,16.0,19.0,22.0,19.0,22.0,19.0,24.0,16.0,19.0,21.0,20.0,20.0
Antigua and Barbuda,3.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,9.0,11.0,10.0,12.0,13.0,0.0,0.0,14.0,17.0,14.0,17.0,17.0,0.0,0.0,23.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,27.0,29.0,29.0,29.0,0.0,0.0,0.0,28.0,29.0,31.0,28.0,0.0,0.0,27.0,26.0,26.0
Argentina,32.0,58.0,6.0,-5.0,-30.0,-20.0,-27.0,-8.0,17.0,143.0,142.0,-43.0,-13.0,-19.0,32.0,64.0,-47.0,-41.0,-48.0,-49.0,-63.0,41.0,55.0,-29.0,-59.0,-37.0,-39.0,-25.0,126.0,198.0,169.0,247.0,314.0,336.0,679.0,673.0,677.0,744.0,736.0,674.0,698.0,749.0,688.0,682.0,665.0,697.0,632.0,670.0,701.0,637.0,633.0,602.0,580.0,567.0,618.0,815.0,634.0,619.0,578.0,559.0,562.0,586.0,652.0,603.0,615.0,548.0,538.0,537.0,559.0,611.0,579.0,606.0,544.0,436.0,498.0,485.0,747.0,551.0,577.0,484.0,472.0,465.0,477.0,510.0,485.0,514.0,431.0,420.0,419.0
Aruba,-2.0,0.0,6.0,4.0,4.0,1.0,1.0,0.0,-5.0,18.0,0.0,1.0,0.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,6.0,12.0,15.0,32.0,21.0,22.0,21.0,0.0,24.0,26.0,27.0,27.0,25.0,20.0,0.0,35.0,34.0,34.0,35.0,34.0,0.0,0.0,32.0,31.0,31.0,30.0,0.0,0.0,0.0,0.0,29.0,32.0,32.0,32.0,0.0,0.0,30.0,30.0,30.0,30.0,29.0,23.0,0.0,0.0,21.0,27.0,25.0,0.0,21.0,0.0,24.0,24.0,24.0,25.0,23.0,19.0,0.0,23.0,23.0,24.0
Australia,1.0,3.0,-17.0,-11.0,-11.0,-16.0,-23.0,-8.0,-3.0,-14.0,-13.0,-11.0,-10.0,-23.0,-7.0,-1.0,-1.0,-13.0,-10.0,-5.0,-21.0,-2.0,-1.0,46.0,-12.0,-9.0,-10.0,-10.0,18.0,19.0,5.0,19.0,33.0,37.0,43.0,55.0,53.0,60.0,96.0,111.0,127.0,138.0,126.0,104.0,132.0,145.0,156.0,168.0,168.0,147.0,112.0,144.0,154.0,154.0,147.0,293.0,149.0,118.0,238.0,160.0,166.0,167.0,171.0,133.0,106.0,145.0,149.0,151.0,157.0,154.0,142.0,106.0,150.0,126.0,90.0,151.0,149.0,113.0,90.0,146.0,126.0,134.0,134.0,132.0,99.0,71.0,114.0,123.0,123.0
Austria,-17.0,-17.0,-3.0,2.0,8.0,3.0,9.0,-17.0,0.0,-4.0,5.0,16.0,9.0,8.0,4.0,4.0,-6.0,7.0,-3.0,1.0,5.0,5.0,-15.0,-1.0,7.0,9.0,18.0,49.0,82.0,75.0,185.0,230.0,235.0,252.0,257.0,181.0,137.0,247.0,256.0,264.0,273.0,266.0,169.0,126.0,244.0,242.0,236.0,246.0,253.0,170.0,108.0,215.0,216.0,210.0,221.0,241.0,150.0,99.0,311.0,203.0,193.0,193.0,195.0,128.0,104.0,174.0,178.0,171.0,177.0,184.0,116.0,73.0,159.0,148.0,180.0,141.0,265.0,85.0,71.0,115.0,136.0,117.0,114.0,113.0,54.0,37.0,116.0,123.0,121.0
Bahrain,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,6.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,8.0,11.0,13.0,11.0,11.0,12.0,13.0,13.0,18.0,20.0,16.0,16.0,15.0,15.0,15.0,18.0,17.0,15.0,15.0,15.0,16.0,16.0,19.0,18.0,15.0,15.0,16.0,16.0,16.0,18.0,17.0,14.0,15.0,14.0,14.0,14.0,17.0,19.0,18.0,19.0,19.0,17.0,19.0,22.0,19.0,20.0,22.0,18.0,19.0,19.0,22.0,18.0,16.0,18.0,18.0,19.0,19.0
Bangladesh,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,-1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,10.0,3.0,5.0,7.0,8.0,7.0,10.0,10.0,13.0,27.0,19.0,24.0,24.0,24.0,23.0,23.0,25.0,17.0,22.0,22.0,24.0,25.0,26.0,28.0,21.0,25.0,24.0,26.0,27.0,26.0,27.0,20.0,25.0,24.0,25.0,25.0,25.0,26.0,18.0,26.0,25.0,25.0,24.0,24.0,26.0,19.0,23.0,22.0,22.0,22.0,22.0,22.0,16.0,20.0,19.0,19.0,19.0,20.0
Barbados,0.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,-1.0,-3.0,-2.0,-2.0,-1.0,-1.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,2.0,5.0,6.0,19.0,24.0,31.0,9.0,8.0,38.0,41.0,42.0,46.0,47.0,15.0,15.0,28.0,28.0,28.0,29.0,27.0,0.0,0.0,39.0,37.0,35.0,33.0,0.0,25.0,0.0,40.0,34.0,30.0,32.0,35.0,23.0,17.0,31.0,31.0,30.0,32.0,34.0,23.0,17.0,31.0,37.0,29.0,28.0,43.0,22.0,17.0,26.0,48.0,46.0,49.0,53.0,19.0,14.0,47.0,47.0,45.0
