country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Afghanistan,-9.0,3.0,6.0,3.0,-1.0,-2.0,0.0,2.0,2.0,3.0,2.0,-1.0,-1.0,-2.0,-1.0,3.0,5.0,3.0,-2.0,3.0,3.0,0.0,5.0,-15.0,0.0,2.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,-3.0,-15.0,-23.0,-12.0,-11.0,-15.0,-18.0,-18.0,-20.0,-36.0,-38.0,-41.0,-43.0,-44.0,-44.0,-38.0,-43.0,-45.0,-45.0,-41.0,-47.0,-49.0,-41.0,-46.0,-48.0,-46.0,-48.0,-42.0,-46.0,-41.0,-43.0,-43.0,-42.0,-41.0,-42.0,-43.0,-45.0,-48.0,-47.0,-49.0,-45.0,-42.0,-47.0,-45.0,-47.0,-49.0,-45.0,-45.0,-44.0,-44.0,-39.0,-40.0,-40.0,-38.0,-38.0,-38.0
Angola,3.0,-4.0,-6.0,-3.0,-10.0,-4.0,-2.0,0.0,-1.0,-9.0,-17.0,-3.0,2.0,6.0,7.0,5.0,6.0,4.0,7.0,5.0,6.0,7.0,5.0,0.0,1.0,1.0,1.0,2.0,2.0,-5.0,-4.0,-6.0,-4.0,-4.0,-5.0,-10.0,-33.0,-43.0,-26.0,-22.0,-10.0,-48.0,-51.0,-61.0,-55.0,-55.0,-55.0,-55.0,-58.0,-58.0,-62.0,-52.0,-53.0,-54.0,-51.0,-60.0,-53.0,-60.0,-55.0,-52.0,-54.0,-52.0,-56.0,-60.0,-63.0,-55.0,-53.0,-55.0,-51.0,-55.0,-47.0,-51.0,-37.0,-32.0,-31.0,-28.0,-51.0,-36.0,-53.0,-37.0,-33.0,-34.0,-33.0,-39.0,-35.0,-52.0,-36.0,-33.0,-34.0
Antigua and Barbuda,-6.0,-7.0,0.0,-1.0,-2.0,1.0,-2.0,-5.0,1.0,-6.0,1.0,-5.0,2.0,4.0,5.0,3.0,8.0,6.0,3.0,5.0,0.0,1.0,3.0,-4.0,5.0,-2.0,7.0,0.0,-11.0,-12.0,-15.0,-19.0,-20.0,-18.0,-19.0,-24.0,-38.0,-24.0,-29.0,-23.0,-25.0,-22.0,-35.0,-46.0,-39.0,-32.0,-25.0,-87.0,-86.0,-82.0,-78.0,-80.0,-78.0,-78.0,-66.0,-95.0,-70.0,-74.0,-85.0,-74.0,-68.0,-67.0,-67.0,-72.0,-69.0,-68.0,-66.0,-65.0,-55.0,-55.0,-57.0,-62.0,-51.0,-53.0,-49.0,-42.0,-45.0,-49.0,-56.0,-71.0,-42.0,-40.0,-39.0,-39.0,-41.0,-46.0,-39.0,-39.0,-42.0
Argentina,2.0,-106.0,-104.0,-36.0,23.0,-11.0,73.0,165.0,269.0,-345.0,-539.0,25.0,10.0,90.0,177.0,-40.0,96.0,29.0,5.0,47.0,161.0,137.0,134.0,91.0,59.0,-117.0,-103.0,-103.0,-268.0,-628.0,-640.0,-918.0,-1081.0,-1107.0,-1875.0,-1983.0,-2102.0,-2128.0,-2125.0,-1981.0,-1989.0,-1948.0,-1946.0,-2081.0,-1939.0,-2030.0,-1860.0,-1902.0,-1806.0,-1808.0,-1976.0,-1760.0,-1995.0,-1975.0,-2003.0,-2237.0,-2047.0,-2137.0,-1998.0,-1970.0,-1978.0,-2035.0,-2030.0,-2085.0,-2185.0,-2039.0,-2029.0,-2029.0,-2038.0,-2034.0,-2072.0,-2182.0,-2044.0,-2013.0,-1958.0,-1841.0,-2229.0,-1948.0,-2119.0,-1867.0,-1845.0,-1799.0,-1762.0,-1732.0,-1785.0,-2015.0,-1699.0,-1690.0,-1679.0
Aruba,2.0,-1.0,-1.0,-2.0,1.0,4.0,7.0,-2.0,14.0,-23.0,6.0,-1.0,-1.0,7.0,5.0,8.0,1.0,5.0,3.0,-1.0,3.0,3.0,2.0,-1.0,-2.0,-4.0,-10.0,-10.0,-23.0,-28.0,-28.0,-38.0,-65.0,-52.0,-53.0,-62.0,-70.0,-53.0,-55.0,-57.0,-57.0,-50.0,-49.0,-88.0,-74.0,-71.0,-70.0,-70.0,-69.0,-71.0,-76.0,-66.0,-65.0,-63.0,-62.0,-96.0,-71.0,-90.0,-88.0,-61.0,-65.0,-66.0,-66.0,-73.0,-77.0,-66.0,-68.0,-65.0,-64.0,-61.0,-64.0,-71.0,-77.0,-54.0,-54.0,-51.0,-75.0,-56.0,-65.0,-46.0,-47.0,-47.0,-49.0,-46.0,-47.0,-61.0,-50.0,-50.0,-51.0
Australia,43.0,32.0,-9.0,-22.0,-4.0,17.0,35.0,67.0,39.0,-7.0,-10.0,-1.0,8.0,42.0,67.0,37.0,-5.0,-8.0,1.0,-2.0,35.0,37.0,30.0,-56.0,-11.0,-13.0,1.0,10.0,14.0,-8.0,-12.0,-39.0,-58.0,-69.0,-89.0,-127.0,-152.0,-146.0,-247.0,-257.0,-284.0,-306.0,-351.0,-388.0,-338.0,-352.0,-346.0,-361.0,-345.0,-378.0,-376.0,-324.0,-328.0,-304.0,-227.0,-685.0,-339.0,-491.0,-419.0,-320.0,-328.0,-329.0,-326.0,-364.0,-387.0,-344.0,-340.0,-333.0,-333.0,-308.0,-444.0,-304.0,-315.0,-310.0,-332.0,-327.0,-303.0,-282.0,-292.0,-325.0,-281.0,-286.0,-274.0,-248.0,-207.0,-250.0,-271.0,-270.0,-268.0
Austria,70.0,158.0,98.0,90.0,38.0,47.0,18.0,80.0,48.0,105.0,138.0,-36.0,10.0,5.0,10.0,1.0,18.0,-15.0,25.0,8.0,-13.0,30.0,159.0,-6.0,-33.0,-58.0,-86.0,-194.0,-367.0,-574.0,-705.0,-788.0,-785.0,-795.0,-813.0,-882.0,-896.0,-787.0,-801.0,-809.0,-808.0,-798.0,-832.0,-872.0,-775.0,-766.0,-768.0,-765.0,-786.0,-828.0,-816.0,-722.0,-736.0,-733.0,-731.0,-761.0,-814.0,-830.0,-899.0,-612.0,-617.0,-621.0,-639.0,-707.0,-833.0,-569.0,-591.0,-597.0,-604.0,-628.0,-680.0,-725.0,-556.0,-576.0,-599.0,-483.0,-837.0,-437.0,-704.0,-310.0,-381.0,-373.0,-376.0,-398.0,-437.0,-631.0,-362.0,-383.0,-406.0
Bahrain,-3.0,-2.0,-5.0,-5.0,-5.0,-3.0,-4.0,-4.0,-4.0,-7.0,-9.0,-12.0,-12.0,-19.0,-12.0,-7.0,-10.0,-9.0,-10.0,-10.0,-16.0,-13.0,-11.0,-14.0,-14.0,-15.0,-17.0,-26.0,-24.0,-16.0,-20.0,-21.0,-29.0,-33.0,-44.0,-35.0,-33.0,-33.0,-34.0,-32.0,-42.0,-61.0,-51.0,-45.0,-45.0,-43.0,-44.0,-44.0,-55.0,-46.0,-39.0,-42.0,-43.0,-44.0,-43.0,-50.0,-38.0,-33.0,-36.0,-35.0,-34.0,-36.0,-48.0,-37.0,-32.0,-31.0,-30.0,-27.0,-32.0,-60.0,-52.0,-44.0,-45.0,-44.0,-45.0,-46.0,-55.0,-49.0,-42.0,-43.0,-43.0,-44.0,-41.0,-46.0,-38.0,-33.0,-35.0,-37.0,-39.0
Bangladesh,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,-1.0,0.0,4.0,7.0,6.0,5.0,3.0,2.0,4.0,7.0,-10.0,8.0,9.0,5.0,5.0,4.0,4.0,5.0,0.0,5.0,4.0,-6.0,-6.0,-12.0,-24.0,-25.0,-25.0,-31.0,-35.0,-53.0,-73.0,-71.0,-71.0,-68.0,-69.0,-67.0,-67.0,-70.0,-70.0,-69.0,-67.0,-71.0,-72.0,-73.0,-75.0,-77.0,-76.0,-73.0,-74.0,-75.0,-75.0,-74.0,-75.0,-75.0,-72.0,-74.0,-73.0,-73.0,-73.0,-73.0,-75.0,-73.0,-73.0,-72.0,-71.0,-71.0,-74.0,-72.0,-67.0,-68.0,-68.0,-68.0,-66.0,-67.0,-64.0,-57.0,-58.0,-56.0,-59.0
Barbados,21.0,31.0,-60.0,-28.0,-41.0,-20.0,16.0,14.0,53.0,-7.0,32.0,52.0,62.0,14.0,40.0,70.0,-18.0,7.0,7.0,17.0,7.0,-7.0,27.0,-38.0,-9.0,25.0,10.0,-4.0,-30.0,1.0,-41.0,-25.0,-40.0,-99.0,-132.0,-174.0,-228.0,-208.0,-189.0,-209.0,-179.0,-156.0,-271.0,-443.0,-498.0,-467.0,-448.0,-407.0,-438.0,-479.0,-449.0,-277.0,-270.0,-257.0,-245.0,-285.0,-243.0,-254.0,-275.0,-253.0,-215.0,-223.0,-222.0,-233.0,-238.0,-230.0,-235.0,-218.0,-234.0,-224.0,-232.0,-239.0,-215.0,-279.0,-206.0,-199.0,-280.0,-222.0,-238.0,-182.0,-185.0,-169.0,-179.0,-182.0,-184.0,-200.0,-182.0,-186.0,-170.0
