sub_region_1,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Aargau,1.0,9.0,-3.0,2.0,-3.0,5.0,-2.0,3.0,21.0,5.0,2.0,-2.0,-1.0,0.0,0.0,9.0,-2.0,2.0,0.0,-5.0,-6.0,1.0,11.0,-3.0,-6.0,-2.0,-2.0,-5.0,-15.0,-9.0,5.0,-47.0,-52.0,-52.0,-60.0,-74.0,-74.0,-60.0,-61.0,-61.0,-60.0,-61.0,-68.0,-75.0,-61.0,-80.0,-80.0,-80.0,-75.0,-80.0,-72.0,-71.0,-66.0,-65.0,-61.0,-87.0,-74.0,-71.0,-84.0,-67.0,-68.0,-63.0,-66.0,-72.0,-65.0,-62.0,-64.0,-64.0,-62.0,-64.0,-69.0,-62.0,-50.0,-56.0,-57.0,-49.0,-53.0,-59.0,-58.0,-45.0,-51.0,-49.0,-40.0,-43.0,-46.0,-47.0,-21.0,-20.0,-26.0
Aberdeen City,-3.0,6.0,11.0,5.0,2.0,-1.0,0.0,0.0,3.0,-4.0,0.0,2.0,1.0,3.0,7.0,7.0,5.0,1.0,5.0,-1.0,0.0,-2.0,1.0,3.0,3.0,0.0,-5.0,-4.0,-13.0,-8.0,-6.0,-18.0,-24.0,-28.0,-35.0,-57.0,-60.0,-53.0,-75.0,-78.0,-80.0,-80.0,-87.0,-86.0,-77.0,-79.0,-79.0,-81.0,-80.0,-86.0,-84.0,-78.0,-79.0,-80.0,-80.0,-80.0,-85.0,-87.0,-82.0,-79.0,-78.0,-80.0,-80.0,-86.0,-84.0,-78.0,-79.0,-80.0,-81.0,-81.0,-85.0,-84.0,-80.0,-80.0,-80.0,-79.0,-79.0,-84.0,-81.0,-75.0,-77.0,-76.0,-77.0,-79.0,-84.0,-82.0,-74.0,-78.0,-78.0
Aberdeenshire,-9.0,1.0,6.0,8.0,3.0,4.0,4.0,0.0,5.0,-11.0,2.0,1.0,9.0,4.0,9.0,13.0,9.0,11.0,10.0,14.0,12.0,6.0,13.0,9.0,9.0,8.0,10.0,9.0,5.0,7.0,11.0,4.0,-1.0,2.0,-7.0,-26.0,-34.0,-33.0,-66.0,-68.0,-68.0,-69.0,-78.0,-80.0,-67.0,-66.0,-67.0,-68.0,-69.0,-76.0,-76.0,-67.0,-66.0,-68.0,-65.0,-69.0,-75.0,-79.0,-71.0,-67.0,-65.0,-63.0,-65.0,-74.0,-73.0,-63.0,-65.0,-62.0,-61.0,-62.0,-70.0,-70.0,-60.0,-61.0,-60.0,-61.0,-61.0,-69.0,-66.0,-57.0,-60.0,-59.0,-57.0,-62.0,-69.0,-71.0,-56.0,-60.0,-60.0
Abia,0.0,-10.0,-3.0,-8.0,-15.0,-9.0,-14.0,-5.0,-11.0,-10.0,-20.0,-14.0,-14.0,-11.0,-8.0,-9.0,-6.0,-10.0,-13.0,-11.0,-15.0,-8.0,-17.0,-5.0,-8.0,-10.0,-11.0,-15.0,-11.0,-23.0,-8.0,-5.0,-18.0,-6.0,-6.0,-5.0,-21.0,-11.0,-11.0,-8.0,-11.0,-11.0,-17.0,-17.0,-11.0,-27.0,-59.0,-54.0,-52.0,-44.0,-37.0,-54.0,-51.0,-57.0,-58.0,-42.0,0.0,0.0,-60.0,-55.0,-59.0,-51.0,-49.0,-18.0,0.0,-61.0,-55.0,-59.0,-58.0,-54.0,-52.0,0.0,-59.0,-58.0,-56.0,-54.0,-57.0,-48.0,0.0,-42.0,-46.0,-41.0,-36.0,-36.0,-36.0,0.0,-33.0,-45.0,-31.0
Abruzzo,2.0,2.0,-1.0,1.0,-4.0,1.0,1.0,1.0,2.0,5.0,4.0,-5.0,-3.0,-3.0,-2.0,-7.0,-3.0,-2.0,-2.0,-4.0,-9.0,-18.0,-27.0,-23.0,-41.0,-52.0,-70.0,-74.0,-82.0,-90.0,-73.0,-75.0,-77.0,-77.0,-79.0,-85.0,-94.0,-78.0,-83.0,-82.0,-84.0,-81.0,-86.0,-94.0,-79.0,-91.0,-90.0,-89.0,-83.0,-88.0,-95.0,-81.0,-80.0,-80.0,-79.0,-80.0,-85.0,-96.0,-95.0,-83.0,-79.0,-78.0,-78.0,-83.0,-94.0,-78.0,-80.0,-80.0,-76.0,-73.0,-94.0,-93.0,-69.0,-73.0,-73.0,-68.0,-91.0,-76.0,-90.0,-55.0,-57.0,-61.0,-57.0,-58.0,-62.0,-77.0,-54.0,-54.0,-54.0
Abu Dhabi,1.0,-2.0,-3.0,-3.0,-3.0,-2.0,0.0,-1.0,-2.0,-3.0,-3.0,-3.0,2.0,2.0,3.0,2.0,1.0,0.0,-1.0,-2.0,-5.0,-2.0,-1.0,-3.0,-3.0,-4.0,-8.0,-13.0,-10.0,-9.0,-12.0,-16.0,-17.0,-21.0,-31.0,-26.0,-27.0,-22.0,-34.0,-46.0,-49.0,-76.0,-66.0,-51.0,-52.0,-51.0,-50.0,-53.0,-63.0,-52.0,-50.0,-52.0,-53.0,-54.0,-56.0,-65.0,-54.0,-52.0,-53.0,-54.0,-54.0,-54.0,-62.0,-54.0,-53.0,-54.0,-54.0,-53.0,-53.0,-65.0,-57.0,-55.0,-56.0,-55.0,-54.0,-56.0,-63.0,-53.0,-51.0,-52.0,-52.0,-50.0,-53.0,-61.0,-51.0,-50.0,-51.0,-51.0,-51.0
Aceh,-1.0,4.0,4.0,0.0,-2.0,2.0,-1.0,0.0,0.0,1.0,-2.0,-2.0,0.0,-1.0,0.0,3.0,6.0,4.0,4.0,4.0,2.0,6.0,5.0,7.0,0.0,4.0,3.0,2.0,2.0,0.0,-1.0,-4.0,-4.0,-5.0,-9.0,-11.0,-14.0,-14.0,-21.0,-28.0,-31.0,-29.0,-36.0,-39.0,-40.0,-41.0,-39.0,-36.0,-37.0,-34.0,-28.0,-27.0,-21.0,-26.0,-23.0,-26.0,-24.0,-27.0,-19.0,-20.0,-20.0,-18.0,-22.0,-19.0,-19.0,-11.0,-12.0,-11.0,-19.0,-40.0,-39.0,-35.0,-32.0,-38.0,-32.0,-34.0,-35.0,-32.0,-31.0,-27.0,-28.0,-23.0,-35.0,-38.0,-29.0,-26.0,-20.0,-20.0,-25.0
Adamawa,-6.0,-2.0,-2.0,-4.0,-5.0,-3.0,2.0,4.0,-1.0,-1.0,1.0,2.0,4.0,1.0,8.0,10.0,3.0,6.0,4.0,3.0,4.0,7.0,5.0,6.0,4.0,4.0,6.0,8.0,7.0,12.0,10.0,0.0,-1.0,-5.0,-13.0,-12.0,-16.0,-13.0,-19.0,-16.0,-10.0,-16.0,-12.0,-16.0,-15.0,-8.0,-43.0,-35.0,-40.0,-38.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Administrative unit Maribor,11.0,5.0,-2.0,3.0,2.0,4.0,3.0,11.0,0.0,-6.0,-2.0,-16.0,-4.0,-5.0,-6.0,-9.0,-6.0,-6.0,-2.0,-1.0,-7.0,-4.0,5.0,-9.0,-6.0,-5.0,-8.0,-29.0,-50.0,-68.0,-71.0,-75.0,-75.0,-75.0,-76.0,-81.0,-90.0,-77.0,-79.0,-79.0,-80.0,-77.0,-78.0,-90.0,-79.0,-78.0,-78.0,-76.0,-76.0,-78.0,-87.0,-73.0,-72.0,-72.0,-69.0,-70.0,-75.0,-87.0,-91.0,-72.0,-70.0,-69.0,-69.0,-71.0,-88.0,-59.0,-58.0,-58.0,-56.0,-56.0,-56.0,-78.0,-86.0,-46.0,-52.0,-33.0,-87.0,-82.0,-60.0,-29.0,-37.0,-32.0,-31.0,-31.0,-35.0,-58.0,-29.0,-37.0,-29.0
Agder,-7.0,-16.0,-1.0,-1.0,3.0,-5.0,-2.0,-9.0,-6.0,4.0,-9.0,1.0,-2.0,4.0,-8.0,-11.0,-1.0,-5.0,-1.0,3.0,1.0,-7.0,-17.0,-5.0,-9.0,-8.0,-5.0,-31.0,-48.0,-72.0,-37.0,-43.0,-44.0,-41.0,-41.0,-49.0,-60.0,-36.0,-40.0,-39.0,-38.0,-38.0,-46.0,-59.0,-32.0,-31.0,-35.0,-35.0,-32.0,-39.0,-52.0,-12.0,-10.0,-6.0,-77.0,-80.0,-39.0,-55.0,-75.0,-19.0,-24.0,-23.0,-20.0,-28.0,-39.0,-11.0,-15.0,-19.0,-16.0,-17.0,-23.0,-38.0,-9.0,-13.0,-14.0,-7.0,-69.0,-2.0,-29.0,-6.0,-9.0,-11.0,-9.0,-7.0,-11.0,-31.0,-3.0,-3.0,-4.0
