country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Afghanistan,-2.0,10.0,9.0,9.0,0.0,4.0,7.0,7.0,7.0,9.0,9.0,3.0,3.0,4.0,4.0,10.0,8.0,7.0,-1.0,4.0,4.0,4.0,7.0,-9.0,6.0,0.0,-2.0,4.0,5.0,6.0,4.0,-3.0,-6.0,-6.0,-19.0,-24.0,-14.0,-17.0,-18.0,-23.0,-23.0,-16.0,-32.0,-34.0,-39.0,-42.0,-38.0,-35.0,-32.0,-38.0,-36.0,-40.0,-46.0,-52.0,-51.0,-48.0,-50.0,-49.0,-51.0,-52.0,-51.0,-51.0,-51.0,-50.0,-49.0,-50.0,-48.0,-49.0,-45.0,-50.0,-49.0,-48.0,-53.0,-47.0,-46.0,-48.0,-50.0,-49.0,-49.0,-49.0,-48.0,-47.0,-45.0,-42.0,-41.0,-43.0,-43.0,-41.0,-44.0
Angola,3.0,1.0,-3.0,-1.0,-7.0,-3.0,0.0,4.0,-8.0,-25.0,-28.0,-7.0,-3.0,0.0,4.0,6.0,3.0,0.0,-3.0,0.0,-3.0,4.0,-3.0,-5.0,-6.0,-11.0,-4.0,-10.0,-4.0,-8.0,-12.0,-17.0,-12.0,-5.0,-21.0,-8.0,-41.0,-52.0,-36.0,-41.0,-25.0,-52.0,-41.0,-57.0,-59.0,-62.0,-61.0,-60.0,-63.0,-56.0,-63.0,-59.0,-61.0,-62.0,-58.0,-65.0,-44.0,-56.0,-60.0,-57.0,-64.0,-59.0,-63.0,-61.0,-68.0,-67.0,-64.0,-68.0,-63.0,-65.0,-53.0,-63.0,-55.0,-45.0,-49.0,-39.0,-62.0,-41.0,-63.0,-54.0,-47.0,-51.0,-45.0,-52.0,-41.0,-60.0,-50.0,-49.0,-51.0
Antigua and Barbuda,-1.0,3.0,-3.0,5.0,0.0,-2.0,-2.0,-4.0,-7.0,-5.0,-3.0,-10.0,2.0,13.0,8.0,9.0,11.0,-1.0,1.0,0.0,5.0,6.0,3.0,-3.0,0.0,-7.0,-5.0,4.0,-10.0,-10.0,-10.0,-18.0,-19.0,-20.0,-18.0,-26.0,-39.0,-27.0,-30.0,-35.0,-31.0,-36.0,-54.0,-67.0,-47.0,-51.0,-49.0,-89.0,-86.0,-86.0,-83.0,-84.0,-84.0,-82.0,-74.0,-94.0,-83.0,-83.0,-90.0,-81.0,-77.0,-78.0,-74.0,-65.0,-79.0,-74.0,-73.0,-73.0,-72.0,-64.0,-63.0,-77.0,-66.0,-67.0,-68.0,-70.0,-61.0,-63.0,-78.0,-88.0,-65.0,-61.0,-63.0,-56.0,-58.0,-71.0,-63.0,-63.0,-63.0
Argentina,-134.0,-144.0,-81.0,-24.0,43.0,95.0,269.0,252.0,27.0,-370.0,-224.0,206.0,81.0,57.0,-26.0,-102.0,-2.0,2.0,-1.0,32.0,109.0,-93.0,-117.0,35.0,21.0,-75.0,-19.0,-40.0,-391.0,-557.0,-580.0,-751.0,-838.0,-1037.0,-1878.0,-2006.0,-2121.0,-2157.0,-2144.0,-2012.0,-2044.0,-2013.0,-2019.0,-2159.0,-2044.0,-2099.0,-1960.0,-1992.0,-1912.0,-1913.0,-2070.0,-1890.0,-1746.0,-1703.0,-1792.0,-2075.0,-1844.0,-2023.0,-1778.0,-1711.0,-1659.0,-1641.0,-1657.0,-1762.0,-1970.0,-1696.0,-1678.0,-1639.0,-1676.0,-1678.0,-1768.0,-1990.0,-1720.0,-1680.0,-1564.0,-1529.0,-1981.0,-1679.0,-1939.0,-1596.0,-1541.0,-1452.0,-1462.0,-1444.0,-1512.0,-1839.0,-1476.0,-1430.0,-1415.0
Aruba,26.0,1.0,-4.0,2.0,4.0,29.0,1.0,13.0,16.0,-18.0,13.0,0.0,5.0,5.0,2.0,3.0,5.0,10.0,5.0,4.0,6.0,0.0,1.0,0.0,-1.0,1.0,1.0,-5.0,-19.0,-18.0,-18.0,-27.0,-49.0,-40.0,-45.0,-54.0,-62.0,-60.0,-57.0,-60.0,-61.0,-55.0,-60.0,-88.0,-77.0,-73.0,-71.0,-72.0,-72.0,-78.0,-77.0,-72.0,-70.0,-68.0,-66.0,-92.0,-76.0,-88.0,-86.0,-66.0,-67.0,-68.0,-69.0,-74.0,-77.0,-69.0,-67.0,-67.0,-65.0,-64.0,-69.0,-71.0,-76.0,-55.0,-54.0,-51.0,-72.0,-65.0,-68.0,-57.0,-51.0,-53.0,-53.0,-53.0,-61.0,-56.0,-56.0,-53.0,-54.0
Australia,25.0,23.0,87.0,59.0,56.0,83.0,103.0,103.0,62.0,98.0,78.0,84.0,95.0,109.0,90.0,56.0,54.0,73.0,58.0,66.0,87.0,33.0,-12.0,-99.0,56.0,54.0,74.0,43.0,-46.0,-74.0,-26.0,-94.0,-129.0,-147.0,-166.0,-226.0,-278.0,-259.0,-347.0,-393.0,-426.0,-445.0,-459.0,-519.0,-490.0,-501.0,-507.0,-537.0,-525.0,-546.0,-564.0,-516.0,-517.0,-518.0,-498.0,-677.0,-557.0,-563.0,-636.0,-525.0,-519.0,-515.0,-515.0,-481.0,-519.0,-509.0,-497.0,-490.0,-493.0,-481.0,-492.0,-497.0,-506.0,-471.0,-492.0,-501.0,-483.0,-445.0,-461.0,-493.0,-456.0,-455.0,-448.0,-430.0,-406.0,-414.0,-442.0,-437.0,-432.0
Austria,131.0,126.0,40.0,22.0,-13.0,15.0,-10.0,187.0,70.0,54.0,70.0,-28.0,-2.0,3.0,8.0,4.0,12.0,-35.0,6.0,-11.0,-30.0,-33.0,46.0,-22.0,-31.0,-64.0,-85.0,-181.0,-322.0,-397.0,-540.0,-623.0,-624.0,-639.0,-664.0,-725.0,-743.0,-698.0,-691.0,-710.0,-708.0,-691.0,-645.0,-701.0,-702.0,-669.0,-645.0,-653.0,-669.0,-650.0,-621.0,-618.0,-605.0,-600.0,-607.0,-647.0,-609.0,-624.0,-760.0,-595.0,-552.0,-554.0,-564.0,-516.0,-595.0,-514.0,-494.0,-487.0,-493.0,-517.0,-501.0,-483.0,-482.0,-469.0,-513.0,-457.0,-609.0,-447.0,-436.0,-399.0,-438.0,-393.0,-385.0,-399.0,-369.0,-384.0,-401.0,-391.0,-401.0
Bahrain,-1.0,-3.0,-3.0,-3.0,-3.0,0.0,-3.0,-3.0,-5.0,-3.0,-8.0,-10.0,-11.0,-14.0,-9.0,-8.0,-6.0,-9.0,-8.0,-9.0,-12.0,-10.0,-11.0,-11.0,-11.0,-12.0,-15.0,-21.0,-20.0,-16.0,-16.0,-17.0,-23.0,-28.0,-39.0,-29.0,-30.0,-31.0,-33.0,-32.0,-40.0,-56.0,-44.0,-38.0,-37.0,-33.0,-34.0,-36.0,-48.0,-38.0,-32.0,-31.0,-33.0,-34.0,-37.0,-48.0,-37.0,-34.0,-33.0,-33.0,-33.0,-36.0,-47.0,-35.0,-32.0,-30.0,-29.0,-28.0,-31.0,-53.0,-42.0,-34.0,-34.0,-34.0,-35.0,-35.0,-46.0,-39.0,-37.0,-32.0,-31.0,-33.0,-32.0,-40.0,-31.0,-28.0,-28.0,-30.0,-33.0
Bangladesh,7.0,4.0,2.0,3.0,2.0,4.0,5.0,6.0,4.0,1.0,2.0,1.0,5.0,9.0,8.0,5.0,3.0,3.0,5.0,9.0,-7.0,10.0,9.0,4.0,6.0,5.0,5.0,5.0,2.0,4.0,5.0,-5.0,-2.0,-9.0,-17.0,-19.0,-22.0,-26.0,-22.0,-37.0,-70.0,-67.0,-66.0,-66.0,-66.0,-65.0,-64.0,-68.0,-66.0,-64.0,-64.0,-68.0,-70.0,-70.0,-73.0,-73.0,-72.0,-71.0,-71.0,-73.0,-72.0,-72.0,-72.0,-71.0,-70.0,-71.0,-70.0,-70.0,-71.0,-69.0,-70.0,-71.0,-70.0,-69.0,-67.0,-69.0,-69.0,-67.0,-65.0,-65.0,-64.0,-64.0,-63.0,-62.0,-59.0,-55.0,-55.0,-54.0,-56.0
Barbados,-3.0,7.0,11.0,4.0,-10.0,9.0,1.0,-12.0,-6.0,-3.0,13.0,9.0,25.0,15.0,7.0,23.0,1.0,2.0,-5.0,-3.0,-6.0,-19.0,-8.0,-22.0,-17.0,-21.0,-11.0,-26.0,-20.0,4.0,7.0,7.0,-37.0,-75.0,-67.0,-57.0,-112.0,-99.0,-106.0,-125.0,-130.0,-128.0,-161.0,-233.0,-213.0,-202.0,-218.0,-226.0,-227.0,-278.0,-275.0,-269.0,-252.0,-254.0,-240.0,-291.0,-247.0,-265.0,-280.0,-254.0,-242.0,-241.0,-242.0,-229.0,-253.0,-243.0,-240.0,-240.0,-244.0,-238.0,-239.0,-252.0,-234.0,-273.0,-227.0,-219.0,-275.0,-217.0,-249.0,-220.0,-216.0,-193.0,-201.0,-203.0,-203.0,-228.0,-194.0,-182.0,-189.0
