country_region,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Afghanistan,-28.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,7.0,5.0,6.0,9.0,8.0,8.0,7.0,10.0,8.0,7.0,7.0,-22.0,6.0,3.0,6.0,5.0,3.0,3.0,1.0,1.0,-1.0,-2.0,-7.0,-36.0,-6.0,-3.0,-5.0,-10.0,-10.0,-2.0,-27.0,-33.0,-37.0,-38.0,-37.0,-35.0,-12.0,-34.0,-38.0,-40.0,-39.0,-42.0,-40.0,-16.0,-38.0,-41.0,-41.0,-42.0,-42.0,-39.0,-13.0,-36.0,-40.0,-38.0,-40.0,-38.0,-37.0,-9.0,-33.0,-37.0,-47.0,-35.0,-34.0,-33.0,-8.0,-33.0,-38.0,-35.0,-36.0,-34.0,-32.0,-3.0,-30.0,-34.0,-31.0,-32.0,-30.0
Angola,2.0,-5.0,5.0,5.0,4.0,4.0,5.0,-1.0,-6.0,-63.0,-69.0,2.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,9.0,8.0,3.0,0.0,8.0,8.0,8.0,8.0,8.0,2.0,-4.0,7.0,6.0,5.0,5.0,3.0,-1.0,-10.0,-68.0,-14.0,-22.0,-27.0,-47.0,-22.0,-11.0,-54.0,-55.0,-55.0,-55.0,-53.0,-36.0,-17.0,-52.0,-54.0,-53.0,-53.0,-69.0,-31.0,-18.0,-51.0,-51.0,-52.0,-51.0,-50.0,-35.0,-18.0,-49.0,-49.0,-50.0,-49.0,-47.0,-24.0,-9.0,-33.0,-33.0,-32.0,-31.0,-64.0,-9.0,-4.0,-30.0,-32.0,-31.0,-30.0,-28.0,-5.0,-3.0,-27.0,-28.0,-28.0
Antigua and Barbuda,0.0,3.0,0.0,5.0,2.0,-1.0,-9.0,5.0,-1.0,1.0,2.0,2.0,0.0,3.0,6.0,2.0,2.0,3.0,2.0,2.0,5.0,7.0,1.0,2.0,4.0,5.0,2.0,5.0,1.0,-7.0,-15.0,-15.0,-19.0,-21.0,-20.0,-13.0,-22.0,-26.0,-28.0,-27.0,-31.0,-29.0,-37.0,-48.0,-44.0,-48.0,-53.0,-82.0,-81.0,-73.0,-66.0,-80.0,-79.0,-79.0,-76.0,-91.0,-68.0,-65.0,-86.0,-75.0,-73.0,-73.0,-69.0,-63.0,-59.0,-68.0,-69.0,-66.0,-63.0,-59.0,-54.0,-53.0,-56.0,-56.0,-55.0,-55.0,-52.0,-47.0,-50.0,-82.0,-51.0,-49.0,-51.0,-48.0,-45.0,-44.0,-47.0,-46.0,-46.0
Argentina,-23.0,-83.0,277.0,276.0,336.0,273.0,288.0,-22.0,-62.0,-1200.0,-1086.0,367.0,371.0,384.0,83.0,-23.0,545.0,541.0,577.0,584.0,597.0,108.0,24.0,475.0,595.0,578.0,575.0,562.0,24.0,-159.0,25.0,-231.0,-457.0,-618.0,-1359.0,-1322.0,-1329.0,-1845.0,-1853.0,-1564.0,-1564.0,-1519.0,-1350.0,-1311.0,-1548.0,-1753.0,-1443.0,-1471.0,-1373.0,-1193.0,-1168.0,-1321.0,-1309.0,-1282.0,-1433.0,-1791.0,-1148.0,-1093.0,-1180.0,-1169.0,-1145.0,-1152.0,-1117.0,-986.0,-1082.0,-1049.0,-1067.0,-1036.0,-1036.0,-999.0,-899.0,-1052.0,-972.0,-963.0,-901.0,-891.0,-1683.0,-822.0,-923.0,-819.0,-831.0,-775.0,-767.0,-709.0,-587.0,-726.0,-651.0,-654.0,-624.0
Aruba,-2.0,-1.0,-20.0,-13.0,-14.0,-13.0,-15.0,-6.0,-8.0,-62.0,-1.0,0.0,1.0,6.0,4.0,4.0,1.0,1.0,1.0,2.0,6.0,2.0,-2.0,1.0,1.0,1.0,1.0,3.0,-3.0,-5.0,-21.0,-29.0,-74.0,-40.0,-41.0,-40.0,-46.0,-48.0,-51.0,-53.0,-55.0,-52.0,-51.0,-72.0,-71.0,-70.0,-69.0,-69.0,-66.0,-64.0,-64.0,-66.0,-67.0,-66.0,-66.0,-91.0,-64.0,-75.0,-89.0,-64.0,-64.0,-63.0,-61.0,-58.0,-60.0,-60.0,-61.0,-59.0,-60.0,-57.0,-55.0,-57.0,-84.0,-56.0,-56.0,-55.0,-81.0,-51.0,-50.0,-49.0,-47.0,-47.0,-46.0,-43.0,-44.0,-41.0,-44.0,-43.0,-43.0
Australia,22.0,-2.0,167.0,136.0,131.0,131.0,155.0,29.0,-4.0,169.0,146.0,133.0,134.0,163.0,39.0,2.0,92.0,145.0,143.0,131.0,153.0,17.0,-5.0,-206.0,133.0,140.0,131.0,152.0,30.0,2.0,142.0,82.0,56.0,40.0,45.0,-31.0,-85.0,-1.0,-113.0,-146.0,-188.0,-182.0,-227.0,-271.0,-231.0,-278.0,-287.0,-302.0,-278.0,-281.0,-301.0,-283.0,-312.0,-306.0,-319.0,-723.0,-343.0,-352.0,-688.0,-353.0,-336.0,-336.0,-317.0,-255.0,-284.0,-279.0,-294.0,-293.0,-295.0,-276.0,-370.0,-271.0,-335.0,-255.0,-258.0,-261.0,-237.0,-232.0,-241.0,-349.0,-225.0,-226.0,-227.0,-203.0,-198.0,-198.0,-185.0,-199.0,-195.0
Austria,-8.0,7.0,-28.0,-26.0,-32.0,-36.0,-35.0,23.0,25.0,14.0,-7.0,-3.0,15.0,9.0,4.0,16.0,25.0,18.0,16.0,15.0,12.0,-1.0,11.0,8.0,6.0,-7.0,-26.0,-52.0,-95.0,-184.0,-426.0,-538.0,-565.0,-588.0,-587.0,-538.0,-546.0,-592.0,-604.0,-605.0,-610.0,-597.0,-495.0,-517.0,-576.0,-580.0,-578.0,-582.0,-585.0,-480.0,-469.0,-569.0,-573.0,-569.0,-582.0,-625.0,-455.0,-455.0,-878.0,-520.0,-505.0,-504.0,-507.0,-365.0,-423.0,-470.0,-469.0,-467.0,-472.0,-483.0,-340.0,-346.0,-439.0,-438.0,-448.0,-439.0,-819.0,-257.0,-310.0,-364.0,-375.0,-364.0,-371.0,-384.0,-208.0,-188.0,-347.0,-343.0,-339.0
Bahrain,3.0,7.0,5.0,5.0,5.0,5.0,3.0,3.0,7.0,5.0,4.0,-3.0,-4.0,1.0,3.0,-2.0,-3.0,-4.0,-3.0,-4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,-7.0,-10.0,-18.0,-12.0,-11.0,-16.0,-19.0,-20.0,-24.0,-36.0,-26.0,-25.0,-26.0,-26.0,-26.0,-26.0,-33.0,-22.0,-24.0,-26.0,-26.0,-26.0,-26.0,-29.0,-20.0,-22.0,-23.0,-24.0,-24.0,-23.0,-25.0,-17.0,-20.0,-22.0,-22.0,-22.0,-23.0,-31.0,-21.0,-24.0,-25.0,-26.0,-27.0,-27.0,-30.0,-38.0,-41.0,-25.0,-25.0,-26.0,-24.0,-21.0,-16.0,-20.0,-22.0,-23.0,-24.0
Bangladesh,8.0,8.0,5.0,5.0,5.0,7.0,0.0,8.0,11.0,7.0,6.0,7.0,8.0,6.0,11.0,12.0,8.0,7.0,8.0,11.0,-4.0,13.0,13.0,6.0,8.0,9.0,11.0,7.0,11.0,13.0,9.0,-33.0,0.0,1.0,4.0,0.0,-5.0,-14.0,-20.0,-36.0,-66.0,-38.0,-54.0,-60.0,-61.0,-60.0,-59.0,-59.0,-35.0,-51.0,-54.0,-60.0,-63.0,-63.0,-63.0,-43.0,-58.0,-61.0,-63.0,-66.0,-62.0,-59.0,-38.0,-55.0,-59.0,-61.0,-61.0,-60.0,-58.0,-35.0,-54.0,-56.0,-56.0,-55.0,-53.0,-50.0,-33.0,-42.0,-47.0,-49.0,-48.0,-52.0,-43.0,-21.0,-34.0,-37.0,-40.0,-40.0,-40.0
Barbados,-1.0,6.0,7.0,20.0,-1.0,7.0,15.0,5.0,9.0,11.0,25.0,13.0,10.0,13.0,6.0,10.0,20.0,34.0,21.0,7.0,19.0,-5.0,11.0,23.0,36.0,8.0,3.0,16.0,4.0,4.0,7.0,13.0,-81.0,-124.0,-121.0,-49.0,-78.0,-206.0,-232.0,-299.0,-310.0,-260.0,-190.0,-263.0,-632.0,-643.0,-663.0,-685.0,-711.0,-566.0,-378.0,-834.0,-658.0,-793.0,-790.0,-632.0,-527.0,-352.0,-715.0,-758.0,-724.0,-731.0,-699.0,-419.0,-307.0,-701.0,-698.0,-699.0,-719.0,-697.0,-415.0,-294.0,-682.0,-780.0,-679.0,-672.0,-867.0,-391.0,-281.0,-545.0,-542.0,-492.0,-567.0,-536.0,-324.0,-190.0,-510.0,-516.0,-516.0
