sub_region_1,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
Aargau,-1.0,-2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-1.0,-1.0,-1.0,-2.0,-2.0,-4.0,-1.0,-3.0,-2.0,-4.0,-4.0,-4.0,-9.0,-15.0,-27.0,-31.0,-34.0,-34.0,-37.0,-38.0,-37.0,-40.0,-40.0,-41.0,-40.0,-35.0,-41.0,-39.0,-41.0,-40.0,-41.0,-39.0,-35.0,-38.0,-41.0,-42.0,-41.0,-44.0,-87.0,-36.0,-34.0,-87.0,-41.0,-39.0,-40.0,-38.0,-29.0,-31.0,-36.0,-36.0,-35.0,-36.0,-35.0,-26.0,-29.0,-31.0,-34.0,-32.0,-33.0,-52.0,-25.0,-24.0,-29.0,-32.0,-30.0,-30.0,-28.0,-15.0,-14.0,-22.0,-23.0,-23.0
Aberdeen City,-1.0,2.0,-10.0,-6.0,-6.0,1.0,-1.0,3.0,4.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-4.0,-9.0,-16.0,-24.0,-29.0,-31.0,-26.0,-32.0,-48.0,-61.0,-67.0,-69.0,-69.0,-60.0,-58.0,-70.0,-71.0,-70.0,-71.0,-70.0,-60.0,-57.0,-71.0,-71.0,-71.0,-72.0,-73.0,-61.0,-58.0,-76.0,-71.0,-71.0,-71.0,-71.0,-58.0,-54.0,-70.0,-69.0,-69.0,-69.0,-68.0,-56.0,-55.0,-69.0,-69.0,-68.0,-69.0,-68.0,-56.0,-51.0,-67.0,-67.0,-67.0,-68.0,-74.0,-56.0,-49.0,-67.0,-67.0,-66.0
Aberdeenshire,-7.0,-3.0,-17.0,-11.0,-10.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,-1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,-1.0,-3.0,-5.0,-5.0,-11.0,-18.0,-23.0,-25.0,-22.0,-26.0,-42.0,-57.0,-64.0,-66.0,-67.0,-55.0,-52.0,-67.0,-69.0,-68.0,-68.0,-67.0,-54.0,-51.0,-68.0,-69.0,-69.0,-69.0,-70.0,-53.0,-52.0,-71.0,-69.0,-68.0,-69.0,-68.0,-51.0,-47.0,-66.0,-66.0,-66.0,-66.0,-66.0,-51.0,-46.0,-64.0,-65.0,-64.0,-65.0,-64.0,-48.0,-44.0,-63.0,-63.0,-63.0,-64.0,-69.0,-48.0,-44.0,-62.0,-62.0,-62.0
Abia,11.0,7.0,5.0,3.0,4.0,4.0,6.0,7.0,3.0,6.0,6.0,3.0,2.0,9.0,4.0,5.0,9.0,9.0,3.0,5.0,11.0,12.0,7.0,6.0,9.0,6.0,5.0,7.0,8.0,-1.0,0.0,2.0,-1.0,-1.0,7.0,9.0,-1.0,-3.0,-5.0,-9.0,-10.0,-5.0,-3.0,-6.0,-15.0,-23.0,-58.0,-54.0,-50.0,-33.0,-15.0,-53.0,-52.0,-53.0,-51.0,-35.0,-7.0,-4.0,-58.0,-51.0,-50.0,-49.0,-42.0,-3.0,-3.0,-47.0,-47.0,-47.0,-45.0,-39.0,-27.0,-7.0,-45.0,-45.0,-44.0,-42.0,-42.0,-17.0,1.0,-31.0,-33.0,-31.0,-29.0,-23.0,-8.0,1.0,-21.0,-30.0,-22.0
Abruzzo,0.0,-1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,-10.0,-15.0,-3.0,0.0,-1.0,0.0,-2.0,1.0,1.0,0.0,-15.0,-16.0,-17.0,-9.0,-22.0,-31.0,-38.0,-50.0,-56.0,-61.0,-58.0,-58.0,-60.0,-61.0,-63.0,-63.0,-65.0,-64.0,-67.0,-71.0,-71.0,-72.0,-71.0,-67.0,-63.0,-68.0,-70.0,-69.0,-68.0,-68.0,-65.0,-62.0,-65.0,-66.0,-66.0,-66.0,-68.0,-64.0,-67.0,-89.0,-66.0,-64.0,-63.0,-63.0,-58.0,-58.0,-61.0,-62.0,-62.0,-60.0,-59.0,-74.0,-55.0,-56.0,-57.0,-56.0,-55.0,-85.0,-53.0,-49.0,-45.0,-46.0,-46.0,-45.0,-44.0,-41.0,-30.0,-41.0,-41.0,-40.0
Abu Dhabi,2.0,2.0,2.0,2.0,2.0,1.0,-1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,-2.0,-3.0,-4.0,-4.0,-5.0,-1.0,2.0,-5.0,-7.0,-9.0,-10.0,-11.0,-9.0,-5.0,-14.0,-17.0,-23.0,-30.0,-34.0,-45.0,-46.0,-39.0,-40.0,-40.0,-41.0,-41.0,-38.0,-29.0,-42.0,-42.0,-44.0,-44.0,-45.0,-41.0,-33.0,-45.0,-46.0,-47.0,-47.0,-47.0,-40.0,-34.0,-46.0,-47.0,-47.0,-47.0,-47.0,-41.0,-36.0,-48.0,-48.0,-48.0,-47.0,-47.0,-38.0,-33.0,-45.0,-46.0,-46.0,-45.0,-45.0,-35.0,-30.0,-43.0,-44.0,-44.0,-44.0
Aceh,3.0,3.0,8.0,5.0,6.0,6.0,5.0,6.0,4.0,9.0,8.0,8.0,8.0,8.0,9.0,5.0,10.0,9.0,8.0,7.0,7.0,7.0,4.0,9.0,7.0,8.0,7.0,8.0,9.0,5.0,-3.0,-11.0,-11.0,-12.0,-13.0,-12.0,2.0,-16.0,-21.0,-44.0,-24.0,-25.0,-22.0,-10.0,-29.0,-30.0,-29.0,-29.0,-28.0,-22.0,-4.0,-24.0,-24.0,-25.0,-24.0,-43.0,-19.0,-2.0,-21.0,-22.0,-22.0,-22.0,-22.0,-14.0,2.0,-18.0,-20.0,-24.0,-35.0,-38.0,-27.0,-5.0,-25.0,-27.0,-25.0,-26.0,-44.0,-18.0,-1.0,-22.0,-24.0,-23.0,-45.0,-31.0,-19.0,2.0,-21.0,-22.0,-23.0
Adamawa,8.0,8.0,6.0,6.0,6.0,5.0,13.0,4.0,7.0,4.0,6.0,6.0,5.0,13.0,7.0,9.0,6.0,1.0,5.0,7.0,14.0,8.0,9.0,8.0,6.0,5.0,7.0,15.0,8.0,9.0,6.0,5.0,6.0,5.0,15.0,4.0,3.0,3.0,-3.0,-4.0,-8.0,-5.0,-4.0,4.0,-11.0,-19.0,-36.0,-31.0,-26.0,-16.0,-2.0,-36.0,-36.0,-35.0,-33.0,-35.0,-18.0,-6.0,-41.0,-30.0,-18.0,-16.0,-11.0,1.0,5.0,-14.0,-16.0,-14.0,-14.0,-9.0,-4.0,-12.0,-41.0,-41.0,-40.0,-38.0,-38.0,-18.0,-9.0,-21.0,-21.0,-19.0,-15.0,-9.0,-3.0,3.0,-16.0,-19.0,-18.0
Administrative unit Maribor,9.0,4.0,2.0,2.0,2.0,0.0,1.0,6.0,1.0,-17.0,-16.0,-19.0,-19.0,-18.0,1.0,-1.0,2.0,2.0,3.0,1.0,1.0,3.0,-1.0,0.0,1.0,1.0,-2.0,-10.0,-13.0,-25.0,-44.0,-52.0,-54.0,-56.0,-56.0,-47.0,-50.0,-59.0,-60.0,-60.0,-61.0,-58.0,-43.0,-45.0,-59.0,-59.0,-58.0,-58.0,-57.0,-46.0,-44.0,-56.0,-56.0,-56.0,-56.0,-56.0,-44.0,-44.0,-87.0,-54.0,-52.0,-51.0,-50.0,-30.0,-36.0,-49.0,-49.0,-47.0,-48.0,-46.0,-26.0,-30.0,-79.0,-49.0,-51.0,-51.0,-84.0,-43.0,-12.0,-37.0,-39.0,-37.0,-36.0,-34.0,-9.0,-9.0,-34.0,-36.0,-33.0
Agder,-4.0,-7.0,-24.0,-22.0,-23.0,-26.0,-27.0,-5.0,-2.0,0.0,-1.0,1.0,-1.0,0.0,-2.0,0.0,0.0,0.0,1.0,-1.0,0.0,-2.0,-5.0,-1.0,-2.0,-1.0,-9.0,-35.0,-23.0,-30.0,-46.0,-49.0,-50.0,-51.0,-50.0,-30.0,-33.0,-50.0,-50.0,-49.0,-50.0,-49.0,-30.0,-31.0,-49.0,-49.0,-48.0,-49.0,-47.0,-28.0,-26.0,-56.0,-56.0,-60.0,-84.0,-84.0,-33.0,-29.0,-84.0,-46.0,-44.0,-44.0,-43.0,-17.0,-16.0,-40.0,-39.0,-38.0,-39.0,-38.0,-14.0,-13.0,-35.0,-35.0,-33.0,-35.0,-79.0,-11.0,-12.0,-32.0,-31.0,-31.0,-31.0,-30.0,-7.0,-11.0,-27.0,-24.0,-22.0
